symbol,gics8,kmeans.text_157
ADP,45102020,0
NSP,20202010,0
PAYC,45103010,0
PAYX,45102020,0
PCTY,45103010,0
TNET,20202010,0
ULTI,45103010,0
WDAY,45103010,0
AMT,60101080,1
ARCW,20106020,1
AVNW,45201020,1
CCI,60101080,1
COMM,45201020,1
DGII,45201020,1
EVOL,45103010,1
IDCC,45201020,1
IDSY,45203010,1
IFON,45201020,1
JCS,45201020,1
KOSS,25201010,1
PCTI,45201020,1
PLT,45201020,1
PRKR,45201020,1
QCOM,45301020,1
QRVO,45301020,1
RSYS,45203020,1
RWC,45201020,1
SCON,45203015,1
SMSI,45103010,1
STRP,50101010,1
TESS,45201020,1
UBNT,45201020,1
UEIC,25201010,1
USM,50102010,1
WIFI,50102010,1
WSTL,45201020,1
WTT,45203010,1
XGTI,45201020,1
XPLR,45202030,1
ZAGG,25201010,1
ZBRA,45203010,1
ANGI,45101010,2
ATLC,40202010,2
CACC,40202010,2
CPSS,40202010,2
ECPG,40202010,2
LC,40202010,2
NICK,40202010,2
PRAA,40202010,2
SYF,40202010,2
TREE,40102010,2
WRLD,40202010,2
AEL,40301020,3
AET,35102030,3
AFL,40301020,3
ANAT,40301030,3
CI,35102030,3
CIA,40301020,3
CNO,40301020,3
FFG,40301020,3
FGL,40301020,3
GWGH,40201040,3
HIIQ,40301010,3
IHC,40301020,3
LNC,40301020,3
MET,40301020,3
NWLI,40301020,3
PFG,40301020,3
PRI,40301020,3
PRU,40301020,3
RGA,40301050,3
SNFCA,40102010,3
TMK,40301020,3
UNM,40301020,3
VOYA,40201020,3
ARW,45203030,4
AVT,45203030,4
BDC,45203015,4
BR,45102020,4
CA,45103020,4
CRTN,45102010,4
CSGS,45102020,4
CSPI,45102010,4
CTG,45102010,4
CTSH,45102010,4
CVG,45102020,4
EDGW,45102010,4
HCKT,45102010,4
HHS,25401010,4
IBM,45102010,4
III,45102020,4
IO,10101020,4
MCK,35102010,4
NCIT,45102010,4
NUAN,45103010,4
PBI,20201060,4
PFSW,45102010,4
PRFT,45102010,4
SMCI,45202030,4
SNX,45203030,4
SREV,45102010,4
STRM,35103010,4
SYKE,45102020,4
SYNT,45102020,4
TECD,45203030,4
TTEC,45102020,4
VRTU,45102010,4
APC,10102020,5
AR,10102020,5
CHK,10102020,5
COG,10102020,5
COP,10102020,5
CRK,10102020,5
CRZO,10102020,5
DVN,10102020,5
ECR,10102020,5
GPOR,10102020,5
GST,10102020,5
HES,10102020,5
MRO,10102020,5
MTDR,10102020,5
MUR,10102020,5
NBL,10102020,5
NGS,10101020,5
OAS,10102020,5
OXY,10102010,5
PDCE,10102020,5
PED,10102020,5
PHX,10102020,5
PXD,10102020,5
REXX,10102020,5
RICE,10102020,5
RMP,10102040,5
RRC,10102020,5
SMLP,10102040,5
SN,10102020,5
SPP,10102020,5
SWN,10102020,5
UNT,10101010,5
USAC,10101020,5
XCO,10102020,5
ACAD,35201010,6
ACOR,35201010,6
ADMS,35201010,6
ADRO,35201010,6
ADXS,35201010,6
AGIO,35201010,6
ALDR,35201010,6
ALXN,35201010,6
APRI,35202010,6
ARDX,35201010,6
ARQL,35201010,6
ARRY,35201010,6
BIIB,35201010,6
BLPH,35101010,6
BPTH,35202010,6
CAPR,35201010,6
CLSN,35201010,6
CORI,35202010,6
CORT,35202010,6
CPRX,35201010,6
CTIC,35201010,6
CYCC,35201010,6
CYTK,35201010,6
CYTR,35201010,6
DVAX,35201010,6
EPZM,35201010,6
EVOK,35202010,6
EXEL,35201010,6
FBIO,35201010,6
FGEN,35201010,6
GALE,35201010,6
GERN,35201010,6
GHDX,35201010,6
GTXI,35201010,6
HEB,35201010,6
IMMU,35201010,6
IMNP,35201010,6
INCR,35203010,6
INCY,35201010,6
ISR,35201010,6
ITCI,35202010,6
ITEK,35201010,6
KERX,35201010,6
KPTI,35201010,6
LJPC,35201010,6
LOXO,35201010,6
LXRX,35201010,6
MEIP,35201010,6
MRTX,35201010,6
NBIX,35201010,6
OMER,35202010,6
ONCE,35201010,6
OTIC,35201010,6
PCRX,35202010,6
PRAH,35203010,6
PRTO,35201010,6
PTN,35201010,6
RIGL,35201010,6
RPRX,35202010,6
RTRX,35201010,6
RXDX,35201010,6
SAGE,35201010,6
SCMP,35202010,6
SGEN,35201010,6
SNSS,35201010,6
SPHS,35201010,6
SUPN,35202010,6
TCON,35201010,6
THLD,35201010,6
TNXP,35201010,6
VICL,35201010,6
VKTX,35201010,6
VNDA,35201010,6
VVUS,35202010,6
XNCR,35201010,6
ZGNX,35202010,6
AEE,55103010,7
AEP,55101010,7
AES,55105010,7
AVA,55103010,7
BKH,55103010,7
CMS,55103010,7
D,55103010,7
DUK,55101010,7
ED,55103010,7
EE,55101010,7
EIX,55101010,7
ES,55101010,7
ETR,55101010,7
EXC,55101010,7
FE,55101010,7
GXP,55101010,7
HE,55101010,7
HIFR,60101080,7
IDA,55101010,7
LNT,55101010,7
MGEE,55101010,7
NEE,55101010,7
OGE,55101010,7
OTTR,55101010,7
PCG,55101010,7
PEG,55103010,7
PNM,55101010,7
PNW,55101010,7
POR,55101010,7
PPL,55101010,7
TSLA,25102010,7
UQM,25101010,7
UTL,55103010,7
VVC,55103010,7
WEC,55103010,7
WR,55101010,7
ARCB,20304020,8
CGI,20304020,8
CHRW,20301010,8
CVTI,20304020,8
ECHO,20301010,8
EXPD,20301010,8
FDX,20301010,8
FWRD,20301010,8
HTLD,20304020,8
HUBG,20301010,8
JBHT,20304020,8
KNX,20304020,8
LSTR,20304020,8
MATX,20303010,8
MRTN,20304020,8
ODFL,20304020,8
PTSI,20304020,8
RLGT,20301010,8
RRTS,20304020,8
SAIA,20304020,8
SINO,20305030,8
SWFT,20304020,8
UPS,20301010,8
USAK,20304020,8
WERN,20304020,8
XPO,20301010,8
YRCW,20304020,8
AVD,15101030,9
CBT,15101010,9
CLIR,45203010,9
LABL,20201010,9
MATW,20201070,9
MON,15101030,9
NTIC,15101050,9
PAH,15101050,9
RAVN,20105010,9
SANW,30202010,9
TREC,15101010,9
AMP,40203010,10
AMTD,40203020,10
BGCP,40203020,10
BK,40203010,10
BPFH,40101015,10
COWN,40203020,10
ENV,45101010,10
ETFC,40203020,10
EVR,40203020,10
FBRC,40203020,10
FNGN,40203010,10
GHL,40203020,10
GS,40203020,10
IFMI,40203030,10
ITG,40203020,10
JMP,40203030,10
LPLA,40203020,10
LTS,40203020,10
LUK,40201030,10
MDLY,40203010,10
MKTX,40203040,10
MORN,40203040,10
MS,40203020,10
NDAQ,40203040,10
NHLD,40203020,10
NTRS,40203010,10
OPY,40203020,10
PJC,40203020,10
RJF,40203020,10
SAMG,40203010,10
SCHW,40203020,10
SF,40203020,10
SIEB,40203020,10
SIVB,40101015,10
SSNC,45103010,10
TSC,40101015,10
UMBF,40101015,10
VALU,40203040,10
