symbol,gics8,kmeans.text_068
EBIX,45103010,5
EHTH,40301010,5
EIG,40301040,5
EMCI,40301040,5
ERIE,40301040,5
FAC,40301040,5
FAF,40301040,5
FFG,40301020,5
FNF,40301040,5
FNFV,40201030,5
FNHC,40301040,5
GNW,40301020,5
GTS,35102030,5
GWGH,40201040,5
HALL,40301040,5
HCHC,20103010,5
HCI,40301040,5
HIG,40301030,5
HIIQ,40301010,5
HMN,40301030,5
HRG,30301010,5
HRTG,40301040,5
IHC,40301020,5
IPCC,40301040,5
KINS,40301040,5
KMPR,40301030,5
LNC,40301020,5
MBI,40301040,5
MCY,40301040,5
MET,40301020,5
MKL,40301040,5
NAVG,40301040,5
NGHC,40301030,5
NMIH,40102010,5
NWLI,40301020,5
ORI,40301040,5
PFG,40301020,5
PGR,40301040,5
PIH,40301040,5
PRA,40301040,5
PRI,40301020,5
PRU,40301020,5
RGA,40301050,5
RLI,40301040,5
SAFT,40301040,5
SIGI,40301040,5
SNC,40301040,5
SNFCA,40102010,5
STFC,40301040,5
THG,40301040,5
TMK,40301020,5
TRV,40301040,5
UFCS,40301040,5
UHAL,20304020,5
UIHC,40301040,5
UNAM,40301040,5
UNM,40301020,5
UVE,40301040,5
VRSK,20202020,5
WRB,40301040,5
Y,40301050,5
ACRX,35202010,6
AMPH,35202010,6
ANIK,35101020,6
BDSI,35202010,6
CARA,35201010,6
COLL,35202010,6
DEPO,35202010,6
DRRX,35202010,6
EGLT,35202010,6
FLXN,35201010,6
HYH,35101020,6
IGC,35202010,6
IRWD,35201010,6
KMPH,35202010,6
MDCO,35202010,6
NURO,35101010,6
NVIV,35101010,6
NVRO,35101010,6
PETX,35202010,6
PTIE,35202010,6
PTX,35202010,6
REPH,35201010,6
STDY,35202010,6
TRVN,35201010,6
ZGNX,35202010,6
HRTX,35201010,6
ADC,60101070,7
AKR,60101070,7
BFS,60101070,7
BRX,60101070,7
CBL,60101070,7
CDR,60101070,7
DDR,60101070,7
FRT,60101070,7
KIM,60101070,7
KRG,60101070,7
MAC,60101070,7
PEI,60101070,7
REG,60101070,7
ROIC,60101070,7
RPT,60101070,7
SKT,60101070,7
TCO,60101070,7
UBA,60101070,7
UE,60101070,7
WHLR,60101070,7
WRI,60101070,7
AAWW,20301010,8
AIR,20101010,8
AIRI,20101010,8
AL,20107010,8
ALGT,20302010,8
AMBR,45101010,8
ARMK,25301040,8
ATSG,20301010,8
AYR,20107010,8
CVU,20101010,8
DAL,20302010,8
DHX,45101010,8
DNOW,20107010,8
DXPE,20107010,8
ECPG,40202010,8
ERA,10101020,8
FTAI,20107010,8
GOGO,45101010,8
HEI,20101010,8
HII,20101010,8
HON,20105010,8
INT,10102030,8
ISSC,20101010,8
JBLU,20302010,8
KLXI,20101010,8
LQDT,45101010,8
LUV,20302010,8
MANH,45103010,8
MLNK,45102020,8
MOC,20201080,8
NAME,45101010,8
OMI,35102010,8
PANL,20303010,8
PCYG,45103010,8
PINC,35102015,8
PRAA,40202010,8
PRGX,45102020,8
R,20304020,8
SPR,20101010,8
SYX,45203030,8
TBI,20202010,8
TGI,20101010,8
TISI,20201050,8
TRN,20106010,8
TXT,20101010,8
VEC,20101010,8
VSEC,20201070,8
WAIR,20101010,8
WCC,20107010,8
WLFC,20107010,8
ACET,35102010,9
ALB,15101050,9
AMRS,10102030,9
ASH,15101050,9
ASH,15101050,9
AXTA,15101050,9
BCPC,15101050,9
BERY,15103010,9
BLL,15103010,9
BMS,15103020,9
CBT,15101010,9
CCF,15101050,9
CCK,15103010,9
CDXS,15101050,9
CE,15101050,9
CLW,15105020,9
DD,15101020,9
DOW,15101020,9
EMN,15101020,9
FF,15101050,9
FMC,15101030,9
FOE,15101050,9
GEF,15103010,9
GLT,15105020,9
GPK,15103020,9
HUN,15101020,9
HXL,20101010,9
IOSP,15101050,9
IP,15103020,9
IPHS,15101050,9
KMG,15101050,9
KRA,15101050,9
KRO,15101010,9
KS,15105020,9
MMM,20105010,9
MTRN,15104020,9
MTX,15101050,9
NP,15105020,9
OI,15103010,9
OLN,15101010,9
OMN,15101050,9
PAH,15101050,9
PKG,15103020,9
POL,15101050,9
PPG,15101050,9
RPM,15101050,9
RYAM,15101050,9
SCL,15101050,9
SHLM,15101050,9
SHW,15101050,9
SLCA,10101020,9
SLGN,15103010,9
SON,15103020,9
SWM,15105020,9
SXT,15101050,9
TG,15101010,9
TREC,15101010,9
TROX,15101010,9
TSE,15101010,9
VAL,15101050,9
VRTV,20107010,9
WLK,15101010,9
CVS,30101010,10
DPLO,35102015,10
ESRX,35102015,10
FRED,25503020,10
MGLN,35102030,10
PMC,35102010,10
RAD,30101010,10
SSY,35102020,10
WBA,30101010,10
APA,10102020,11
AREX,10102020,11
AXAS,10102020,11
BBG,10102020,11
CHK,10102020,11
CPE,10102020,11
CRC,10102020,11
CRZO,10102020,11
CXO,10102020,11
ECR,10102020,11
EGN,10102020,11
EPE,10102020,11
ESTE,10102020,11
EVEP,10102020,11
FANG,10102020,11
GST,10102020,11
LGCY,10102020,11
LPI,10102020,11
MTDR,10102020,11
NFX,10102020,11
NOG,10102020,11
OAS,10102020,11
PE,10102020,11
PED,10102020,11
PXD,10102020,11
QEP,10102020,11
REN,10102020,11
REXX,10102020,11
RICE,10102020,11
RSPP,10102020,11
SMLP,10102040,11
UPL,10102020,11
VNOM,10102020,11
WLL,10102020,11
WPX,10102020,11
XEC,10102020,11
AEIS,45301010,12
AETI,20104010,12
AMSC,20104010,12
AOSL,45301020,12
AT,55105010,12
CMCO,20106020,12
CPN,55105010,12
CUI,45203010,12
DPW,20104010,12
ENS,20104010,12
ESP,20104010,12
FCEL,20104010,12
IPWR,20104010,12
MPWR,45301020,12
OPTT,20104020,12
PEGI,55105020,12
POWI,45301020,12
QBAK,45202030,12
SPWR,45301020,12
TERP,55105020,12
VICR,20104010,12
AAMC,60102040,13
AB,40203010,13
AMG,40203010,13
AMP,40203010,13
AMTD,40203020,13
APAM,40203010,13
ARES,40203010,13
BEN,40203010,13
BGCP,40203020,13
BK,40203010,13
BLK,40203010,13
BPFH,40101015,13
BX,40203010,13
CBG,60102040,13
CME,40203040,13
CNS,40203010,13
COWN,40203020,13
DEA,60101040,13
DHIL,40203010,13
ENV,45101010,13
ETFC,40203020,13
EV,40203010,13
EVR,40203020,13
FBRC,40203020,13
FIG,40203010,13
FII,40203010,13
FNGN,40203010,13
FSAM,40203010,13
GBL,40203010,13
GCAP,40203020,13
GHL,40203020,13
GROW,40203010,13
GS,40203020,13
HNNA,40203010,13
IBKR,40203020,13
ICE,40203040,13
IFMI,40203030,13
INTL,40203020,13
ITG,40203020,13
IVZ,40203010,13
JMP,40203030,13
JNS,40203010,13
KCG,40203020,13
LC,40202010,13
LM,40203010,13
LPLA,40203020,13
LTS,40203020,13
LUK,40201030,13
MDLY,40203010,13
MKTX,40203040,13
MN,40203010,13
MORN,40203040,13
MS,40203020,13
MSCI,40203040,13
NDAQ,40203040,13
NHLD,40203020,13
NTRS,40203010,13
OAK,40203010,13
OPY,40203020,13
PJC,40203020,13
PZN,40203010,13
RJF,40203020,13
SAMG,40203010,13
SCHW,40203020,13
SEIC,40203010,13
SF,40203020,13
SIEB,40203020,13
SSNC,45103010,13
STT,40203010,13
TROW,40203010,13
UMBF,40101015,13
VALU,40203040,13
VIRT,40203020,13
VOYA,40201020,13
WDR,40203010,13
WHG,40203010,13
OZM,40203010,13
ACCO,20201060,14
ACU,20201060,14
AMC,25401030,14
AMZN,25502020,14
AOI,30203010,14
BBY,25504020,14
BGFV,25504040,14
BID,25302020,14
BREW,30201010,14
CCL,25301020,14
CCO,25401010,14
CHKE,25203010,14
CLCT,25302020,14
CLUB,25301030,14
CRWS,25203030,14
CSS,25201050,14
CTHR,25203010,14
DKS,25504040,14
EBAY,45101010,14
EBF,20201010,14
EDUC,25501010,14
ELY,25202010,14
ENR,30301010,14
ESCA,25202010,14
ETH,25201020,14
ETSY,25502020,14
EXPE,25502020,14
EZPW,40202010,14
FCFS,40202010,14
FGL,40301020,14
FL,25504010,14
FLWS,25502020,14
FTD,25502020,14
GRPN,25502020,14
HAS,25202010,14
HSNI,25502020,14
ICON,25203010,14
IPAR,30302010,14
ISIG,25401010,14
JAKK,25202010,14
JOUT,25202010,14
KATE,25203010,14
KOSS,25201010,14
LOV,45101010,14
LTRPA,25502020,14
MAT,25202010,14
MC,40203020,14
MO,30203010,14
MOV,25203010,14
MSG,25401030,14
MSN,25201010,14
MYCC,25301030,14
NCLH,25301020,14
NLS,25202010,14
ODP,25504040,14
OSTK,25502020,14
PBPB,25301040,14
PCLN,25502020,14
PM,30203010,14
PRSS,25502020,14
PSMT,30101040,14
PVH,25203010,14
QVCA,25502020,14
RAI,30203010,14
RCL,25301020,14
RH,25504060,14
ROX,30201020,14
SAM,30201010,14
SCSS,25504060,14
SGRP,25401010,14
SHOO,25203020,14
SPLS,25504040,14
