symbol,gics8,text_157
AN,25504050,0
AXL,25101010,0
CRMT,25504050,0
FOXF,25101010,0
LAD,25504050,0
MPX,25202010,0
MXWL,45203020,0
PII,25202010,0
SC,40202010,0
SEV,45301020,0
THO,25102010,0
TSLA,25102010,0
AEY,45203030,1
ALSK,50101020,1
ATNI,50101020,1
DISH,25401025,1
EVOL,45103010,1
GNCMA,50101020,1
HLIT,45201020,1
HWCC,20107010,1
LBRDK,25401025,1
NMRX,45101010,1
OTEL,50101020,1
SATS,45201020,1
SHEN,50102010,1
SPOK,50102010,1
TDS,50102010,1
USM,50102010,1
CLMT,10102030,2
FTEK,20201050,2
GLP,10102040,2
INT,10102030,2
PARR,10102030,2
SRLP,10102040,2
GSBC,40101015,3
GWB,40101015,3
ONDK,40201040,3
WAL,40101015,3
ACSF,40203010,4
FSFR,40203010,4
FSIC,40203010,4
GBDC,40203010,4
HCAP,40203010,4
MCC,40203010,4
MDLY,40203010,4
NEWS,40201040,4
ASMB,35202010,5
CERS,35101020,5
ENZ,35203010,5
RGEN,35201010,5
SRDX,35101010,5
TECH,35203010,5
VIVO,35101020,5
VRML,35101010,5
BBGI,25401020,6
CMLS,25401020,6
EMMS,25401020,6
ETM,25401020,6
EVC,25401020,6
MDP,25401040,6
NXST,25401020,6
P,45101010,6
SALM,25401020,6
SGA,25401020,6
SSP,25401020,6
TIME,25401040,6
TSQ,25401020,6
XOXO,45101010,6
ABMD,35101010,7
ABT,35101010,7
ALR,35101020,7
BABY,35101010,7
BDX,35101010,7
CBMX,35203010,7
CTSO,35101010,7
DYNT,35101010,7
ELGX,35101020,7
EW,35101010,7
HAE,35101020,7
ICUI,35101020,7
JNJ,35202010,7
MSN,25201010,7
NSTG,35203010,7
NUS,30302010,7
NVTA,35201010,7
OSUR,35101020,7
QDEL,35101020,7
SSH,35101010,7
TENX,35201010,7
TROV,35201010,7
TTOO,35201010,7
APC,10102020,8
AR,10102020,8
CHK,10102020,8
CNX,10102050,8
COG,10102020,8
CRZO,10102020,8
DVN,10102020,8
ECR,10102020,8
GNE,55101010,8
GPOR,10102020,8
GST,10102020,8
HES,10102020,8
MTDR,10102020,8
MUR,10102020,8
NBL,10102020,8
NGS,10101020,8
OAS,10102020,8
PDCE,10102020,8
PED,10102020,8
REXX,10102020,8
RICE,10102020,8
RMP,10102040,8
RRC,10102020,8
SMLP,10102040,8
SPP,10102020,8
SWN,10102020,8
UPL,10102020,8
USAC,10101020,8
JWN,25503010,9
O,60101070,10
SAVE,20302010,10
SRC,60101010,10
AMNB,40101015,11
AMRB,40101015,11
BMRC,40101015,11
CARO,40101015,11
CNOB,40101015,11
CSFL,40101015,11
CUBI,40101015,11
CVBF,40101015,11
CVCY,40101015,11
ESXB,40101015,11
EVBS,40101015,11
FCBC,40101015,11
FCCO,40101015,11
FIBK,40101015,11
FULT,40101015,11
HOMB,40101015,11
HTBK,40101015,11
ICBK,40101015,11
LCNB,40101015,11
MOFG,40101015,11
NKSH,40101015,11
PCBK,40101015,11
PFBI,40101015,11
PNFP,40101015,11
RBPAA,40101015,11
SASR,40101015,11
SFBS,40101015,11
SFST,40101015,11
SHBI,40101015,11
SSB,40101015,11
STBZ,40101015,11
TCBK,40101015,11
TRCB,40101015,11
TSC,40101015,11
UBFO,40101015,11
UBSH,40101015,11
UBSI,40101015,11
UCBI,40101015,11
UMPQ,40101015,11
VBTX,40101015,11
WSBC,40101015,11
XBKS,40101015,11
ANTM,35102030,12
CNC,35102030,12
CNXR,35103010,12
CRCM,45101010,12
CRVL,35102015,12
EHTH,40301010,12
GTS,35102030,12
HMSY,35103010,12
MOH,35102030,12
WCG,35102030,12
ASCMA,25302020,13
CIX,20201060,13
CUDA,45103020,13
DBD,45202030,13
DSS,45103020,13
EML,20106020,13
FBHS,20102010,13
FEYE,45103020,13
FNJN,45103020,13
FTNT,45103020,13
GDDY,45101010,13
GUID,45103010,13
IDN,45203010,13
IMPV,45103020,13
INVE,45203010,13
LRAD,45203010,13
MOBL,45103010,13
MOC,20201080,13
NSR,45102020,13
NSSC,45203010,13
NXTD,45103020,13
OSIS,45203010,13
PANW,45201020,13
PFPT,45103020,13
QLYS,45103020,13
SWK,20106020,13
SYMC,45103020,13
UUU,45203010,13
VDSI,45103020,13
VRSN,45101010,13
ZIXI,45103010,13
AIMC,20106020,14
AIT,20107010,14
AMOT,20104010,14
AVX,45203015,14
CMCO,20106020,14
CUI,45203010,14
CW,20101010,14
LEA,25101010,14
PH,20106020,14
RBC,20104010,14
ROLL,20106020,14
RXN,20106020,14
SNHY,20106020,14
SRI,25101010,14
TDG,20101010,14
AA,15104010,15
AP,15104050,15
ARII,20106010,15
ATI,15104050,15
B,20106020,15
BRSS,20106020,15
CENX,15104010,15
COHR,45203010,15
CPS,25101010,15
DXPE,20107010,15
HAYN,15104050,15
HDNG,20106020,15
HURC,20106020,15
ITW,20106020,15
KALU,15104010,15
KMT,20106020,15
KN,45203015,15
KOPN,45301020,15
LECO,20106020,15
MLI,20106020,15
NNBR,20106020,15
NPK,20101010,15
NX,20102010,15
OCIP,15101010,15
OLN,15101010,15
PFIN,25201040,15
PGTI,20102010,15
PKOH,20301010,15
PLAB,45301010,15
POOL,25501010,15
SHLM,15101050,15
SHLO,25101010,15
SUP,25101010,15
TOWR,25101010,15
TRS,20106020,15
TSE,15101010,15
UCTT,45301010,15
WAIR,20101010,15
WHR,25201040,15
WLK,15101010,15
WLKP,15101010,15
WSCI,20106020,15
XON,35201010,15
AXE,45203030,16
AZZ,20104020,16
BGC,20104010,16
DY,20103010,16
EME,20103010,16
FAST,20107010,16
GV,20103010,16
HDS,20107010,16
IESC,20103010,16
LAWS,20107010,16
MSM,20107010,16
MTRX,10101020,16
MTZ,20103010,16
MYRG,20103010,16
POWL,20104010,16
PWR,20103010,16
WCC,20107010,16
WG,10101020,16
WIRE,20104010,16
WPCS,45102010,16
ATU,20106020,16
BKEP,10102040,17
BPL,10102040,17
CVX,10102010,17
DKL,10102040,17
EPD,10102040,17
FTAI,20107010,17
GEL,10102040,17
HEP,10102040,17
KMI,10102040,17
MMP,10102040,17
MPLX,10102040,17
NS,10102030,17
PBFX,10102040,17
PSXP,10102040,17
SEMG,10102040,17
SHLX,10102040,17
TLLP,10102040,17
TLP,10102040,17
USDP,10102040,17
WPT,10102040,17
BPT,10102020,18
CHKR,10102020,18
CRT,10102020,18
DMLP,10102020,18
ECT,10102020,18
HGT,10102020,18
MARPS,10102020,18
MSB,15104050,18
MTR,10102020,18
NDRO,10102020,18
NRT,10102020,18
PBT,10102020,18
PDLI,35201010,18
PER,10102020,18
RGLD,15104030,18
ROYT,10102020,18
SBR,10102020,18
SDR,10102020,18
SDT,10102020,18
SJT,10102020,18
TPL,40201030,18
VOC,10102020,18
XPL,15104040,18
ARKR,25301040,19
BBRG,25301040,19
BDL,25301040,19
BH,25301040,19
BJRI,25301040,19
BLMN,25301040,19
BOJA,25301040,19
BWLD,25301040,19
CAKE,25301040,19
CHUY,25301040,19
CMG,25301040,19
DAVE,25301040,19
DENN,25301040,19
DIN,25301040,19
DRI,25301040,19
EAT,25301040,19
FRGI,25301040,19
GRUB,45101010,19
GTIM,25301040,19
HABT,25301040,19
JACK,25301040,19
KONA,25301040,19
LOCO,25301040,19
LUB,25301040,19
MCD,25301040,19
NDLS,25301040,19
PZZA,25301040,19
RAVE,25301040,19
RICK,25301030,19
RRGB,25301040,19
RT,25301040,19
RUTH,25301040,19
SONC,25301040,19
STKS,25301040,19
TACO,25301040,19
TAST,25301040,19
TXRH,25301040,19
WEN,25301040,19
ZOES,25301040,19
AMRK,40201040,20
AUMN,15104040,20
CDE,15104045,20
FCX,15104025,20
GMO,15104020,20
GORO,15104030,20
HL,15104045,20
LODE,15104030,20
MMI,60102040,20
NEM,15104030,20
OMEX,20201070,20
SCCO,15104025,20
SIR,60101010,20
TAHO,15104030,20
UAMY,15104020,20
UEC,10102050,20
URG,10102050,20
URRE,10102050,20
UWN,25301010,20
VGZ,15104030,20
ABIO,35201010,21
ACHN,35201010,21
ACOR,35201010,21
ADRO,35201010,21
AGIO,35201010,21
ARDX,35201010,21
ARQL,35201010,21
ATNM,35201010,21
BLPH,35101010,21
BPMC,35201010,21
CALA,35201010,21
CHRS,35201010,21
CNCE,35201010,21
CORT,35202010,21
CRIS,35201010,21
CYCC,35201010,21
CYTK,35201010,21
CYTR,35201010,21
DERM,35202010,21
EPZM,35201010,21
FGEN,35201010,21
FPRX,35201010,21
GALE,35201010,21
GERN,35201010,21
IMNP,35201010,21
INCR,35203010,21
INCY,35201010,21
INFI,35201010,21
KERX,35201010,21
KPTI,35201010,21
LIFE,35201010,21
LXRX,35201010,21
MEIP,35201010,21
MRNS,35202010,21
MRTX,35201010,21
NKTR,35202010,21
NLNK,35201010,21
OCRX,35202010,21
OMER,35202010,21
ONTX,35201010,21
PTLA,35201010,21
RIGL,35201010,21
RNN,35201010,21
RPRX,35202010,21
RVNC,35202010,21
RXDX,35201010,21
RXII,35201010,21
SCMP,35202010,21
SGEN,35201010,21
SNSS,35201010,21
SPHS,35201010,21
TCON,35201010,21
THLD,35201010,21
TNXP,35201010,21
TSRO,35201010,21
VKTX,35201010,21
VNDA,35201010,21
XNCR,35201010,21
AEO,25504010,22
ANF,25504010,22
ASNA,25504010,22
BEBE,25504010,22
BKE,25504010,22
BONT,25503010,22
BOOT,25504010,22
BURL,25504010,22
CATO,25504010,22
CBK,25504010,22
CHS,25504010,22
COH,25203010,22
CTRN,25504010,22
DDS,25503010,22
DEST,25504010,22
DSW,25504010,22
DXLG,25504010,22
EXPR,25504010,22
FOSL,25203010,22
FRAN,25504010,22
GES,25504010,22
GPS,25504010,22
JCP,25503010,22
KATE,25203010,22
KIRK,25504060,22
KSS,25503010,22
LE,25502020,22
M,25503010,22
MAT,25202010,22
NWY,25504010,22
PLCE,25504010,22
QVCA,25502020,22
SCVL,25504010,22
SHOO,25203020,22
SHOS,25504030,22
SKX,25203020,22
SMRT,25504010,22
SSI,25504010,22
TJX,25504010,22
TLYS,25504010,22
URBN,25504010,22
VNCE,25203010,22
VRA,25203010,22
ZUMZ,25504010,22
ABR,40204010,23
ACRE,40204010,23
ARI,40204010,23
BXMT,40204010,23
CMCT,40204010,23
HF,60102040,23
LADR,40204010,23
PW,60101080,23
RAS,60101010,23
REIS,45101010,23
RSO,40204010,23
STWD,40204010,23
WD,40102010,23
Z,45101010,23
ALX,60101070,24
BFS,60101070,24
BRX,60101070,24
CBL,60101070,24
CDR,60101070,24
DDR,60101070,24
KIM,60101070,24
KRG,60101070,24
MAC,60101070,24
REG,60101070,24
ROIC,60101070,24
RPT,60101070,24
SKT,60101070,24
TCO,60101070,24
UBA,60101070,24
UE,60101070,24
WHLR,60101070,24
WRI,60101070,24
AAMC,60102040,25
APO,40203010,25
ARES,40203010,25
BK,40203010,25
BX,40203010,25
COWN,40203020,25
EVR,40203020,25
FBRC,40203020,25
FIG,40203010,25
FSAM,40203010,25
GHL,40203020,25
GS,40203020,25
IFMI,40203030,25
JMP,40203030,25
MC,40203020,25
MCO,40203040,25
MS,40203020,25
MSCI,40203040,25
NTRS,40203010,25
OAK,40203010,25
OPY,40203020,25
PJC,40203020,25
RJF,40203020,25
SF,40203020,25
OZM,40203010,25
ACU,20201060,26
CAPL,10102040,26
COST,30101040,26
CRI,25203010,26
CST,25504050,26
CTHR,25203010,26
CVS,30101010,26
HOG,25102020,26
JVA,30202030,26
LCUT,25201050,26
MOV,25203010,26
NATH,25301040,26
ODC,30301010,26
PERF,25504040,26
RAD,30101010,26
RCKY,25203020,26
RL,25203010,26
SCSS,25504060,26
SPTN,30101020,26
SUN,10102040,26
SVU,30101030,26
TLF,25504010,26
TR,30202030,26
TSCO,25504040,26
WBA,30101010,26
WMT,30101040,26
WSM,25504060,26
WVVI,30201020,26
ACXM,45102010,27
BAH,45102010,27
CLGX,45102020,27
CONE,60101080,27
COR,60101080,27
CRAY,45202030,27
CVLT,45103020,27
DATA,45103020,27
DFT,60101080,27
DGI,20101010,27
DNB,20202020,27
DWCH,45103010,27
FDS,40203040,27
FICO,45103010,27
FORR,45102010,27
GWRE,45103010,27
HDP,45101010,27
INOV,35103010,27
LTRX,45201020,27
MDSO,35103010,27
MSTR,45103010,27
NTAP,45202030,27
PRGS,45103020,27
QTM,45202030,27
QTS,60101080,27
RHT,45103020,27
SPLK,45103010,27
TDC,45102010,27
TECD,45203030,27
TRUE,45101010,27
VEEV,35103010,27
VRNS,45103020,27
WK,45103010,27
AAT,60101010,28
ADC,60101070,28
AHH,60101010,28
AKR,60101070,28
AMH,60101060,28
ARE,60101040,28
BDN,60101040,28
BRG,60101060,28
BRT,60101060,28
BXP,60101040,28
CLI,60101040,28
CORR,60101080,28
CTT,60101080,28
CUBE,60101080,28
CUZ,60101040,28
CXP,60101040,28
DCT,60101020,28
DEI,60101040,28
DLR,60101080,28
DOC,60101050,28
DRE,60101020,28
