symbol,gics8,hier.text_008
BABY,35101010,3
BAC,40101010,5
BAH,45102010,1
BANC,40101015,6
BANF,40101015,4
BANR,40101015,1
BASI,35203010,6
BAX,35101010,3
BBBY,25504060,3
BBG,10102020,0
BBGI,25401020,0
BBOX,45201020,1
BBRG,25301040,0
BBSI,20202010,5
BBT,40101015,4
BBW,25504040,2
BBY,25504020,6
BC,25202010,2
BCBP,40101015,1
BCC,15105010,3
BCEI,10102020,0
BCLI,35201010,0
BCO,20201080,1
BCOR,45101010,4
BCOV,45101010,1
BCPC,15101050,3
BCR,35101010,3
BCRX,35201010,0
BDC,45203015,6
BDGE,40101015,1
BDL,25301040,2
BDN,60101040,6
BDR,45201020,3
BDSI,35202010,7
BDX,35101010,2
BEAT,35102015,4
BEBE,25504010,1
BECN,20107010,3
BELFB,45201020,3
BEN,40203010,1
BERY,15103010,3
BFAM,25302010,4
BFIN,40102010,1
BFS,60101070,6
BG,30202010,3
BGC,20104010,3
BGCP,40203020,4
BGFV,25504040,7
BGG,20106020,3
BGS,30202030,3
BH,25301040,0
BHB,40101015,4
BHBK,40101015,1
BHE,45203020,4
BHI,10101020,4
BHLB,40101015,1
BID,25302020,6
BIG,25503020,0
BIIB,35201010,7
BIO,35203010,2
BIOC,35201010,0
BIOL,35101010,7
BIOS,35102015,1
BJRI,25301040,0
BK,40203010,4
BKCC,40203010,0
BKD,35102020,4
BKE,25504010,0
BKEP,10102040,4
BKH,55103010,2
BKJ,40101015,0
BKMU,40102010,1
BKS,25504040,2
BKSC,40101015,1
BKU,40101015,1
BLBD,20106010,2
BLCM,35201010,0
BLDR,20102010,1
BLFS,35101020,1
BLIN,45101010,5
BLK,40203010,5
BLKB,45103010,5
BLL,15103010,6
BLMN,25301040,2
BLMT,40102010,0
BLPH,35101010,7
BLUE,35201010,0
BMI,45203010,3
BMRC,40101015,1
BMRN,35201010,7
BMS,15103020,2
BMTC,40101015,4
BMY,35202010,3
BNCL,40102010,1
BNCN,40101015,1
BNFT,45101010,1
BOBE,25301040,3
BOCH,40101015,1
BOFI,40102010,3
BOH,40101015,6
BOJA,25301040,0
BOKF,40101015,4
BONT,25503010,0
BOOM,20106020,2
BOOT,25504010,7
BOX,45101010,5
BPFH,40101015,5
BPI,25302010,1
BPL,10102040,6
BPMC,35201010,0
BPOP,40101015,1
BPT,10102020,0
BPTH,35202010,0
BR,45102020,4
BRC,20201010,3
BRCD,45201020,6
BREW,30201010,2
BRG,60101060,7
BRKL,40101015,1
BRKR,35203010,7
BRKS,45301010,4
BRN,10102020,2
BRO,40301010,6
BRS,10101020,1
BRSS,20106020,2
BRT,60101060,2
BRX,60101070,0
BSET,25201020,6
BSF,40102010,1
BSFT,45103010,4
BSM,10102020,0
BSQR,45103010,1
BSRR,40101015,1
BSTC,35201010,0
BSX,35101010,5
BTN,25401030,6
BTU,10102050,0
BTX,35201010,3
BURL,25504010,7
BUSE,40101015,4
BV,45101010,1
BVSN,45101010,1
BVX,35101010,3
BWA,25101010,3
BWEN,20104020,2
BWFG,40101015,1
BWINB,40301040,6
BWLD,25301040,0
BWP,10102040,0
BX,40203010,6
BXC,20107010,3
BXMT,40204010,0
BXP,60101040,0
BXS,40101015,6
BYBK,40101015,1
BYD,25301010,0
BZH,25201030,2
C,40101010,4
CA,45103020,4
CAB,25504040,6
CAC,40101015,1
CACB,40101015,4
CACC,40202010,0
CACI,45102010,4
CACQ,25301010,0
CAG,30202030,3
CAH,35102010,6
CAKE,25301040,2
CALA,35201010,0
CALD,45103010,1
CALM,30202030,3
CALX,45201020,1
CAMP,45201020,6
CAPL,10102040,2
CAPN,35101010,0
CAPR,35201010,0
CAR,20304020,2
CARA,35201010,7
CARB,45101010,5
CARO,40101015,6
CART,40101015,1
CARV,40102010,1
CASH,40102010,1
CASI,35201010,0
CASM,35101010,3
CASS,45102020,4
CASY,30101030,3
CAT,20106010,6
CATM,45102020,4
CATO,25504010,2
CATY,40101015,1
CAVM,45301020,3
CAW,30302010,3
CBAN,40101015,1
CBAY,35202010,0
CBB,50101020,4
CBF,40101015,1
CBFV,40101015,1
CBG,60102040,4
CBK,25504010,2
CBL,60101070,0
CBLI,35201010,0
CBM,35203010,1
CBMG,35201010,0
CBMX,35203010,1
CBOE,40203040,1
CBPX,20102010,3
CBRL,25301040,0
CBS,25401020,2
CBSH,40101015,6
CBT,15101010,3
CBU,40101015,4
CBZ,20202020,4
CCBG,40101015,1
CCC,15101010,6
CCF,15101050,2
CCI,60101080,1
CCK,15103010,2
CCL,25301020,2
CCMP,45301010,0
