symbol,mc
AWRE,103.73M  
AWX,9.32M  
AXAS,302.08M  
AXDX,1.53B  
AXE,2.54B  
AXGN,488.16M  
AXL,1.74B  
AXP,68.64B  
AXR,51.05M  
AXTA,7.58B  
AXTI,265.88M  
AYI,7.12B  
AYR,1.74B  
AZO,19.14B  
AZPN,4.34B  
AZZ,1.41B  
B,2.93B  
BA,109.92B  
BABY,1.09B  
BAC,229.39B  
BAH,5.39B  
BANC,1.06B  
BANF,1.47B  
BANR,1.77B  
BAS,753.97M  
BASI,13.35M  
BAX,31.1B  
BBBY,5.13B  
BBG,317.39M  
BBGI,242.23M  
BBOX,131.69M  
BBRG,69.74M  
BBSI,415.89M  
BBT,34.28B  
BBW,167.82M  
BBY,15.78B  
BC,4.93B  
BCBP,177.81M  
BCC,1.04B  
BCEI,788.42M  
BCLI,77.57M  
BCO,2.99B  
BCOR,883.23M  
BCOV,204.96M  
BCPC,2.52B  
BCR,22.27B  
BCRX,440.71M  
BDC,2.87B  
BDE,180.08M  
BDGE,671.69M  
BDL,47.67M  
BDMS,25.11M  
BDN,3.07B  
BDR,4.47M  
BDSI,135.55M  
BDX,41.86B  
BEAT,810.94M  
BEAV,6.54B  
BEBE,32.13M  
BECN,2.92B  
BELFB,279.01M  
BEN,23.6B  
BERY,7.26B  
BF.B,N/A  
BFAM,4.56B  
BFIN,255.12M  
BFS,1.7B  
BG,9.78B  
BGC,769.28M  
BGCP,4.47B  
BGFV,294.6M  
BGG,1.01B  
BGS,2.64B  
BH,783.13M  
BHB,454.34M  
BHBK,483.45M  
BHE,1.55B  
BHI,24.77B  
BHLB,1.27B  
BID,2.63B  
BIG,2.13B  
BIIB,53.42B  
BIO,6.49B  
BIOC,38.04M  
BIOD,N/A  
BIOL,79.84M  
BIOS,205.67M  
BJRI,1.01B  
BK,48.4B  
BKCC,552.1M  
BKD,2.61B  
BKE,815.62M  
BKEP,273.7M  
BKH,3.62B  
BKJ,103.31M  
BKMU,411.09M  
BKS,503.67M  
BKSC,100.18M  
BKU,3.58B  
BLBD,425.44M  
BLCM,417.1M  
BLDR,1.6B  
BLFS,28.81M  
BLIN,12.01M  
BLK,64B  
BLKB,3.77B  
BLL,14.06B  
BLMN,2.02B  
BLMT,280M  
BLPH,51.46M  
BLUE,3.38B  
BMI,1.12B  
BMRC,371.21M  
BMRN,15.57B  
BMS,4.03B  
BMTC,693.94M  
BMY,88.99B  
BNCL,1.12B  
BNCN,1.66B  
BNFT,956.11M  
BOBE,1.41B  
BOCH,180.48M  
BOFI,1.43B  
BOH,3.35B  
BOJA,638.61M  
BOKF,5.37B  
BONT,14.59M  
BOOM,198.04M  
BOOT,213.95M  
BOTJ,66.46M  
BOX,2.31B  
BPFH,1.25B  
BPI,398.13M  
BPL,9.35B  
BPMC,1.54B  
BPOP,3.89B  
BPT,423.72M  
BPTH,45.54M  
BR,8.62B  
BRC,1.9B  
BRCD,5.15B  
BREW,307.24M  
BRG,313.66M  
BRK.B,N/A  
BRKL,1.06B  
BRKR,4.2B  
BRKS,1.88B  
BRN,15.89M  
BRO,5.9B  
BRS,497.66M  
BRSS,668.58M  
BRT,112.32M  
BRX,5.69B  
BSET,298.55M  
BSF,329.41M  
BSFT,1.15B  
BSM,3.22B  
BSQR,60.33M  
BSRR,333.21M  
BSTC,364.66M  
BSX,36.17B  
BTN,85.67M  
BTU,2.26B  
BTX,341.5M  
BURL,6.66B  
BUSE,1.1B  
BV,376.83M  
BVSN,21.1M  
BVX,66.35M  
BWA,8.57B  
BWEN,80.6M  
BWFG,255.1M  
BWINB,360.24M  
BWLD,2.46B  
BWP,4.67B  
BX,36.43B  
BXC,85.53M  
BXMT,2.9B  
BXP,20.81B  
BXS,2.66B  
BYBK,74.5M  
BYD,2.83B  
BZH,479.22M  
C,168.21B  
CA,13.06B  
CAB,3.64B  
CAC,631.83M  
CACB,543.1M  
CACC,4.3B  
CACI,2.97B  
CACQ,2.4B  
CAG,16.05B  
CAH,23.22B  
CAKE,2.72B  
CALA,568.24M  
CALD,1.36B  
CALM,1.89B  
CALX,331.67M  
CAMP,656.85M  
CAPL,829.67M  
CAPN,32.84M  
CAPR,20.79M  
CAR,1.89B  
CARA,547.1M  
CARB,530.6M  
CARO,491.12M  
CART,32.21M  
CARV,13.64M  
CASH,783.53M  
CASI,58.99M  
CASM,27.45M  
CASS,699.29M  
CASY,4.5B  
CAT,60.34B  
CATM,1.58B  
CATO,549.13M  
CATY,2.91B  
CAVM,4.85B  
CAW,22.77M  
CB,64.66B  
CBAN,115.2M  
CBAY,112.42M  
CBB,731.03M  
CBF,2.56B  
CBFV,112.42M  
CBG,11.22B  
CBK,41.01M  
CBL,1.53B  
CBLI,37.69M  
CBM,1.69B  
CBMG,97.89M  
CBMX,16.74M  
CBOE,9.53B  
CBPX,946.79M  
CBR,25.31M  
CBRL,3.82B  
CBS,25.09B  
CBSH,5.5B  
CBT,3.21B  
CBU,2.48B  
CBZ,802.69M  
CCBG,304.16M  
CCC,728.31M  
CCE,19.53B  
CCF,953.32M  
CCI,36.41B  
CCK,7.62B  
CCL,44.55B  
CCMP,1.86B  
CCNE,334.24M  
CCO,1.37B  
CCOI,1.7B  
CCRN,439.03M  
CCS,582.91M  
CCUR,62.87M  
CDE,1.71B  
CDI,114.82M  
CDK,8.92B  
CDNS,9.17B  
CDR,429.57M  
CDTI,50.88M  
CDTX,114.28M  
CDW,8.97B  
CDXS,209.54M  
CDZI,348.33M  
CE,11.9B  
CEB,2.52B  
CECE,325.51M  
CECO,653.21M  
CELG,91.3B  
CELP,88.62M  
CEMI,84.25M  
CEMP,199.51M  
CENTA,1.57B  
CENX,1.21B  
CEQP,1.71B  
CERN,21.18B  
CERS,311.81M  
CERU,12.18M  
CEVA,921.4M  
CF,6.66B  
CFBK,35.51M  
CFFI,165.12M  
CFFN,1.93B  
