symbol,gics8,text_024
BPT,10102020,0
BSM,10102020,0
CHKR,10102020,0
CRT,10102020,0
DMLP,10102020,0
ECT,10102020,0
FRPH,60102020,0
HGT,10102020,0
MARPS,10102020,0
MSB,15104050,0
MTR,10102020,0
MVO,10102020,0
NDRO,10102020,0
NRP,10102050,0
NRT,10102020,0
PBT,10102020,0
PDLI,35201010,0
PER,10102020,0
RGLD,15104030,0
ROYT,10102020,0
SBR,10102020,0
SDR,10102020,0
SDT,10102020,0
SJT,10102020,0
TPL,40201030,0
VOC,10102020,0
XPL,15104040,0
ACNB,40101015,1
ALLY,40202010,1
AMNB,40101015,1
ANCX,40101015,1
AROW,40101015,1
ASB,40101015,1
ASRV,40101015,1
BAC,40101010,1
BANC,40101015,1
BANF,40101015,1
BBT,40101015,1
BDGE,40101015,1
BFIN,40102010,1
BHLB,40101015,1
BMRC,40101015,1
BMTC,40101015,1
BOH,40101015,1
BOKF,40101015,1
BPOP,40101015,1
BUSE,40101015,1
BXS,40101015,1
C,40101010,1
CARO,40101015,1
CART,40101015,1
CBSH,40101015,1
CBU,40101015,1
CCBG,40101015,1
CFFI,40101015,1
CFG,40101015,1
CFR,40101015,1
CHCO,40101015,1
CHFC,40101015,1
CHMG,40101015,1
CIT,40101015,1
CMA,40101010,1
COBZ,40101015,1
COF,40202010,1
COLB,40101015,1
CPF,40101015,1
CSFL,40101015,1
CUBI,40101015,1
CVBF,40101015,1
CZNC,40101015,1
DFS,40202010,1
EFSC,40101015,1
EGBN,40101015,1
EVBS,40101015,1
EVER,40102010,1
EWBC,40101015,1
FBC,40102010,1
FBIZ,40101015,1
FBP,40101015,1
FCBC,40101015,1
FCCO,40101015,1
FCF,40101015,1
FCNCA,40101015,1
FDEF,40102010,1
FFBC,40101015,1
FFIN,40101015,1
FFKT,40101015,1
FHN,40101015,1
FIBK,40101015,1
FISI,40101015,1
FITB,40101015,1
FLIC,40101015,1
FMBI,40101015,1
FMNB,40101015,1
FNB,40101015,1
FRC,40101015,1
FRME,40101015,1
FULT,40101015,1
GABC,40101015,1
HBAN,40101015,1
HBHC,40101015,1
HBNC,40101015,1
HOMB,40101015,1
HTBK,40101015,1
HTH,40101015,1
IBCP,40101015,1
IBKC,40101015,1
IBOC,40101015,1
JPM,40101010,1
KEY,40101015,1
LKFN,40101015,1
MBFI,40101015,1
MOFG,40101015,1
MTB,40101015,1
NKSH,40101015,1
NWBI,40102010,1
OFG,40101015,1
OKSB,40101015,1
ONB,40101015,1
OPB,40101015,1
OPOF,40101015,1
PBCT,40101015,1
PCBK,40101015,1
PFBI,40101015,1
PGC,40101015,1
PNC,40101015,1
PNFP,40101015,1
PRK,40101015,1
PSTB,40101015,1
PVTB,40101015,1
QCRH,40101015,1
RBPAA,40101015,1
RF,40101015,1
RNST,40101015,1
SASR,40101015,1
SBCF,40101015,1
SBFG,40101015,1
SBNY,40101015,1
SHBI,40101015,1
SIVB,40101015,1
