symbol,gics8,text_314
BIOL,35101010,0
CUTR,35101010,0
IRIX,35101010,0
CASH,40102010,1
CHFC,40101015,1
FCF,40101015,1
IBCP,40101015,1
SBFG,40101015,1
AWRE,45103010,2
BSQR,45103010,2
CDNS,45103010,2
CTRL,45203010,2
EPAM,45102010,2
GUID,45103010,2
GWRE,45103010,2
JIVE,45103010,2
NATI,45203010,2
NEWR,45101010,2
NTWK,45103010,2
PEGA,45103010,2
PRGS,45103020,2
PTC,45103010,2
SNPS,45103010,2
TWOU,45101010,2
WDAY,45103010,2
ZEN,45103010,2
CTO,60102010,3
LXP,60101010,3
O,60101070,3
SRC,60101010,3
STOR,60101010,3
TRNO,60101020,3
CRS,15104050,4
DNOW,20107010,4
FTK,15101050,4
HNH,15104050,4
SPLP,40201030,4
TMST,15104050,4
APDN,45203010,5
CMRX,35201010,5
CRMD,35201010,5
GNCA,35201010,5
GNVC,35201010,5
NVAX,35201010,5
VICL,35201010,5
VBIV,35201010,5
BWP,10102040,6
TCP,10102040,6
BKCC,40203010,7
FSAM,40203010,7
FSFR,40203010,7
GAIN,40203010,7
GBDC,40203010,7
HCAP,40203010,7
MRCC,40203010,7
OAK,40203010,7
TCPC,40203010,7
TICC,40203010,7
AREX,10102020,8
AXAS,10102020,8
BBG,10102020,8
CPE,10102020,8
CRC,10102020,8
CXO,10102020,8
EGN,10102020,8
EPE,10102020,8
ESTE,10102020,8
EVEP,10102020,8
FANG,10102020,8
LGCY,10102020,8
LPI,10102020,8
MCEP,10102020,8
NOG,10102020,8
PE,10102020,8
PQ,10102020,8
PXD,10102020,8
QEP,10102020,8
REI,10102020,8
REN,10102020,8
RSPP,10102020,8
SN,10102020,8
UPL,10102020,8
VNOM,10102020,8
WPX,10102020,8
XCO,10102020,8
XEC,10102020,8
AIZ,40301030,9
AXP,40202010,9
ETSY,25502020,9
EXPE,25502020,9
FLT,45102020,9
HAWK,45102020,9
LPG,10102040,9
MGI,45102020,9
PHMD,35101010,9
SABR,45102020,9
SERV,25302020,9
TRUP,40301020,9
TZOO,45101010,9
VVI,20201070,9
WU,45102020,9
AMID,10102040,10
EEP,10102040,10
EEQ,10102040,10
ENLC,10102040,10
