symbol,gics8,hier.text_011
A,35203010,1
AA,15104010,4
AAC,35102020,1
AAMC,60102040,2
AAME,40301030,5
AAN,25504060,1
AAOI,45201020,4
AAON,20102010,4
AAP,25504050,4
AAPL,45202030,1
AAT,60101010,2
AAWW,20301010,1
AB,40203010,6
ABAX,35101010,1
ABBV,35201010,9
ABC,35102010,1
ABCB,40101015,3
ABCD,25302010,1
ABCO,20202020,7
ABDC,40203010,8
ABG,25504050,4
ABIO,35201010,9
ABM,20201050,4
ABMD,35101010,1
ABR,40204010,10
ABT,35101010,1
ABTL,45101010,1
ACAD,35201010,9
ACC,60101060,2
ACCO,20201060,1
ACET,35102010,1
ACFC,40102010,3
ACHC,35102020,1
ACHN,35201010,9
ACIW,45103010,7
ACLS,45301010,4
ACM,20103010,4
ACNB,40101015,3
ACOR,35201010,9
ACRE,40204010,10
ACRX,35202010,9
ACSF,40203010,8
ACTA,45101010,7
ACTG,20202020,1
ACU,20201060,1
ACXM,45102010,7
ADBE,45103010,1
ADC,60101070,2
ADGE,55105010,4
ADI,45301020,4
ADK,35102020,1
ADM,30202010,1
ADMA,35201010,1
ADMP,35202010,9
ADMS,35201010,9
ADP,45102020,7
ADRO,35201010,9
ADS,45102020,7
ADSK,45103010,4
ADTN,45201020,7
ADUS,35102015,1
ADXS,35201010,9
AE,10102030,0
AEE,55103010,0
AEGN,20103010,1
AEHR,45301010,4
AEIS,45301010,4
AEL,40301020,5
AEO,25504010,1
AEP,55101010,0
AERI,35202010,9
AES,55105010,4
AET,35102030,1
AETI,20104010,4
AEY,45203030,1
AF,40102010,3
AFG,40301030,5
AFH,40301040,5
AFL,40301020,1
AFSI,40301040,5
AGCO,20106015,4
AGEN,35201010,9
AGIO,35201010,9
AGM,40102010,1
AGNC,40204010,10
AGRX,35202010,9
AGX,20103010,4
AGYS,45203030,7
AHC,25401040,1
AHGP,10102050,4
AHH,60101010,2
AHP,60101030,2
AHPI,35101010,1
AHT,60101030,2
AI,40203010,10
AIG,40301030,5
AIMC,20106020,4
AIN,20106020,1
AINV,40203010,8
AIQ,35102015,1
AIR,20101010,4
AIRI,20101010,4
AIT,20107010,4
AIV,60101060,2
AIZ,40301030,1
AJG,40301010,5
AJRD,20101010,4
AJX,40204010,10
AKAM,45101010,1
AKAO,35202010,9
AKBA,35201010,9
AKR,60101070,2
AKRX,35202010,1
AKS,15104050,4
AL,20107010,1
ALB,15101050,1
ALCO,30202010,1
ALDR,35201010,9
ALDW,10102030,0
ALDX,35201010,9
ALE,55101010,4
ALEX,60102010,2
ALG,20106010,4
ALGN,35101020,4
ALGT,20302010,1
ALIM,35202010,9
ALJ,10102030,0
ALK,20302010,1
ALL,40301040,5
ALLY,40202010,1
ALNY,35201010,9
ALOG,35101010,1
ALOT,45202030,4
ALQA,35101020,1
ALR,35101020,1
ALSK,50101020,7
ALSN,20106010,4
ALX,60101070,2
ALXN,35201010,9
AM,10102040,4
AMAG,35201010,9
AMAT,45301010,4
AMBA,45301020,1
AMBR,45101010,7
AMC,25401030,1
AMCX,25401020,1
AMD,45301020,4
AME,20104010,4
AMED,35102015,1
AMG,40203010,6
AMGN,35201010,9
AMH,60101060,2
AMID,10102040,0
AMKR,45301010,4
AMNB,40101015,3
AMOT,20104010,4
AMP,40203010,6
AMPE,35202010,9
AMPH,35202010,1
AMRB,40101015,3
AMRC,20103010,4
AMRI,35203010,1
AMRK,40201040,1
AMRS,10102030,1
AMS,35102015,1
AMSC,20104010,4
AMSF,40301040,5
AMSWA,45103010,7
AMT,60101080,2
AMTD,40203020,6
AMTX,10102030,1
AMWD,20102010,7
AMZN,25502020,1
AN,25504050,4
ANAT,40301030,5
ANCX,40101015,3
ANDE,30101020,1
ANET,45201020,7
ANF,25504010,1
ANGI,45101010,1
ANGO,35101010,1
ANH,40204010,10
ANIK,35101020,1
ANIP,35202010,1
ANSS,45103010,4
ANTH,35201010,9
ANTM,35102030,1
AOI,30203010,1
AOS,20102010,4
AOSL,45301020,4
AP,15104050,4
APA,10102020,0
APAM,40203010,6
APC,10102020,0
APD,15101040,4
APDN,45203010,7
APEI,25302010,1
APH,45203015,4
APO,40203010,6
APOG,20102010,1
APPS,45103010,1
APRI,35202010,9
APTS,60101060,2
APU,55102010,4
AR,10102020,4
ARAY,35101010,1
ARC,20201060,4
ARCB,20304020,4
ARCC,40203010,8
ARCI,25504040,1
ARCW,20106020,4
ARCX,10102040,0
ARDM,35202010,9
ARDX,35201010,9
ARE,60101040,2
ARES,40203010,6
AREX,10102020,0
ARI,40204010,10
ARII,20106010,4
ARIS,45101010,7
ARKR,25301040,1
ARLP,10102050,4
ARMK,25301040,4
ARNA,35201010,9
AROW,40101015,3
ARQL,35201010,9
ARR,40204010,10
ARRS,45201020,7
ARRY,35201010,9
ARTNA,55104010,4
ARTW,20106015,4
ARTX,20101010,4
ARW,45203030,4
ARWR,35201010,9
ASB,40101015,3
ASCMA,25302020,7
ASFI,40202010,1
ASGN,20202010,7
ASH,15101050,1
ASH,15101050,1
ASMB,35202010,9
ASNA,25504010,1
ASPN,10101020,1
ASRV,40101015,3
AST,35201010,9
ASTC,20101010,1
ASTE,20106010,4
ASUR,45103010,7
ASYS,45301010,4
AT,55105010,4
ATEC,35101010,1
ATEN,45103020,7
ATHN,35103010,1
ATHX,35201010,9
ATI,15104050,4
ATLC,40202010,1
ATLO,40101015,3
ATNI,50101020,7
ATNM,35201010,9
ATO,55102010,0
ATR,15103010,1
ATRA,35201010,9
ATRC,35101010,1
ATRI,35101020,1
ATRO,20101010,4
ATRS,35101020,1
ATSG,20301010,1
ATVI,45103030,1
ATW,10101010,4
AUMN,15104040,4
AVA,55103010,0
AVAV,20101010,4
AVB,60101060,2
AVD,15101030,1
AVEO,35201010,9
AVGR,35101010,1
AVHI,25201030,1
AVID,45202030,1
AVNW,45201020,4
AVT,45203030,4
AVX,45203015,4
AVY,15103020,1
AWI,20102010,1
AWK,55104010,4
AWR,55104010,4
AWRE,45103010,7
AWX,20201050,1
AXAS,10102020,0
AXDX,35203010,1
AXE,45203030,4
AXGN,35101010,1
AXL,25101010,4
AXP,40202010,1
AXR,20201070,2
AXTA,15101050,1
AXTI,45301010,4
AYI,20104010,4
AYR,20107010,1
AZO,25504050,4
AZPN,45103010,7
AZZ,20104020,4
B,20106020,4
BA,20101010,7
BABY,35101010,4
BAC,40101010,3
BAH,45102010,7
BANC,40101015,3
BANF,40101015,3
BANR,40101015,3
BASI,35203010,1
BAX,35101010,1
BBBY,25504060,1
BBG,10102020,0
BBGI,25401020,1
BBOX,45201020,4
BBRG,25301040,1
BBSI,20202010,7
BBT,40101015,3
BBW,25504040,1
BBY,25504020,1
BC,25202010,1
BCBP,40101015,3
BCC,15105010,1
BCEI,10102020,0
BCLI,35201010,9
BCO,20201080,7
BCOR,45101010,1
BCOV,45101010,1
BCPC,15101050,1
BCR,35101010,1
BCRX,35201010,9
BDC,45203015,4
BDGE,40101015,3
BDL,25301040,1
BDN,60101040,2
BDR,45201020,1
BDSI,35202010,9
BDX,35101010,1
BEAT,35102015,1
BEBE,25504010,1
BECN,20107010,1
BELFB,45201020,4
BEN,40203010,6
BERY,15103010,1
BFAM,25302010,1
BFIN,40102010,3
BFS,60101070,2
BG,30202010,1
BGC,20104010,4
BGCP,40203020,6
BGFV,25504040,1
BGG,20106020,4
BGS,30202030,1
BH,25301040,1
BHB,40101015,3
BHBK,40101015,3
BHE,45203020,4
BHI,10101020,4
BHLB,40101015,3
BID,25302020,1
BIG,25503020,1
BIIB,35201010,9
BIO,35203010,1
BIOC,35201010,1
BIOL,35101010,4
BIOS,35102015,1
BJRI,25301040,1
BK,40203010,6
BKCC,40203010,8
BKD,35102020,1
BKE,25504010,1
BKEP,10102040,0
BKH,55103010,0
BKJ,40101015,3
BKMU,40102010,3
BKS,25504040,1
BKSC,40101015,3
BKU,40101015,3
BLBD,20106010,4
BLCM,35201010,9
BLDR,20102010,1
BLFS,35101020,9
BLIN,45101010,1
BLK,40203010,6
BLKB,45103010,7
BLL,15103010,1
BLMN,25301040,1
BLMT,40102010,3
BLPH,35101010,9
BLUE,35201010,9
BMI,45203010,4
BMRC,40101015,3
BMRN,35201010,9
BMS,15103020,1
BMTC,40101015,3
BMY,35202010,9
BNCL,40102010,3
BNCN,40101015,3
BNFT,45101010,1
BOBE,25301040,1
BOCH,40101015,3
BOFI,40102010,3
BOH,40101015,3
BOJA,25301040,1
BOKF,40101015,3
BONT,25503010,1
BOOM,20106020,4
BOOT,25504010,1
BOX,45101010,1
BPFH,40101015,6
BPI,25302010,1
BPL,10102040,0
BPMC,35201010,9
BPOP,40101015,3
BPT,10102020,0
BPTH,35202010,9
BR,45102020,7
BRC,20201010,4
BRCD,45201020,7
BREW,30201010,1
BRG,60101060,2
BRKL,40101015,3
BRKR,35203010,1
BRKS,45301010,4
BRN,10102020,4
BRO,40301010,5
BRS,10101020,4
BRSS,20106020,4
BRT,60101060,2
BRX,60101070,2
BSET,25201020,1
BSF,40102010,3
BSFT,45103010,7
BSM,10102020,1
BSQR,45103010,7
BSRR,40101015,3
BSTC,35201010,9
BSX,35101010,1
BTN,25401030,1
BTU,10102050,4
BTX,35201010,9
BURL,25504010,1
BUSE,40101015,7
BV,45101010,1
BVSN,45101010,7
BVX,35101010,1
BWA,25101010,4
BWEN,20104020,4
BWFG,40101015,3
BWINB,40301040,5
BWLD,25301040,1
BWP,10102040,0
BX,40203010,6
BXC,20107010,1
BXMT,40204010,10
BXP,60101040,2
BXS,40101015,3
BYBK,40101015,3
BYD,25301010,1
BZH,25201030,1
C,40101010,3
CA,45103020,7
CAB,25504040,1
CAC,40101015,3
CACB,40101015,3
CACC,40202010,1
CACI,45102010,7
CACQ,25301010,1
CAG,30202030,1
CAH,35102010,1
CAKE,25301040,1
CALA,35201010,9
CALD,45103010,7
CALM,30202030,1
CALX,45201020,7
CAMP,45201020,7
CAPL,10102040,1
CAPN,35101010,9
CAPR,35201010,9
CAR,20304020,4
CARA,35201010,9
CARB,45101010,4
CARO,40101015,3
CART,40101015,3
CARV,40102010,3
CASH,40102010,3
CASI,35201010,9
CASM,35101010,1
CASS,45102020,7
CASY,30101030,1
CAT,20106010,4
CATM,45102020,7
CATO,25504010,1
CATY,40101015,3
CAVM,45301020,7
CAW,30302010,1
CBAN,40101015,3
CBAY,35202010,9
CBB,50101020,7
CBF,40101015,3
CBFV,40101015,3
CBG,60102040,2
CBK,25504010,1
CBL,60101070,2
CBLI,35201010,9
CBM,35203010,1
CBMG,35201010,9
CBMX,35203010,1
CBOE,40203040,6
CBPX,20102010,1
CBRL,25301040,1
CBS,25401020,1
CBSH,40101015,3
CBT,15101010,1
CBU,40101015,3
CBZ,20202020,1
CCBG,40101015,3
CCC,15101010,1
CCF,15101050,1
CCI,60101080,2
CCK,15103010,1
CCL,25301020,1
