symbol,gics8,text_068
PACW,40101015,5
PEBK,40101015,5
PKBK,40101015,5
PLBC,40101015,5
PRK,40101015,5
PROV,40102010,5
QCRH,40101015,5
RBPAA,40101015,5
SAL,40101015,5
SASR,40101015,5
SFNC,40101015,5
SLCT,40101015,5
SSB,40101015,5
SSFN,40101015,5
STL,40101015,5
TBBK,40101015,5
TCBK,40101015,5
THFF,40101015,5
TRST,40102010,5
TSC,40101015,5
UBCP,40101015,5
UBSH,40101015,5
UNTY,40101015,5
VLY,40101015,5
WABC,40101015,5
WSFS,40102010,5
XBKS,40101015,5
AIZ,40301030,6
AJG,40301010,6
AMSF,40301040,6
BRO,40301010,6
CBZ,20202020,6
EBIX,45103010,6
ERIE,40301040,6
FAC,40301040,6
FAF,40301040,6
FNF,40301040,6
FNFV,40201030,6
GNW,40301020,6
INTX,20201070,6
MBI,40301040,6
MKL,40301040,6
MMC,40301010,6
MTG,40102010,6
NMIH,40102010,6
ORI,40301040,6
PIH,40301040,6
SNC,40301040,6
STC,40301040,6
UVE,40301040,6
VRSK,20202020,6
WRB,40301040,6
AKAO,35202010,7
ARDM,35202010,7
CDTX,35201010,7
CEMP,35202010,7
CFRX,35201010,7
CMRX,35201010,7
CRMD,35201010,7
DRNA,35201010,7
EBS,35201010,7
ENTA,35201010,7
EVOK,35202010,7
GILD,35201010,7
ICPT,35201010,7
IRWD,35201010,7
LJPC,35201010,7
MDCO,35202010,7
OPGN,35201010,7
SCLN,35202010,7
SCYX,35202010,7
SGYP,35201010,7
TTPH,35202010,7
VBIV,35201010,7
AAC,35102020,8
ACCO,20201060,8
ADSK,45103010,8
AEGN,20103010,8
AGM,40102010,8
AIMC,20106020,8
AJX,40204010,8
ALCO,30202010,8
ALGN,35101020,8
AMC,25401030,8
AMD,45301020,8
AMTX,10102030,8
AMWD,20102010,8
ANDE,30101020,8
ANSS,45103010,8
AOI,30203010,8
APD,15101040,8
APEI,25302010,8
APOG,20102010,8
ASCMA,25302020,8
ASFI,40202010,8
ASPN,10101020,8
ASTC,20101010,8
AVD,15101030,8
AVY,15103020,8
BC,25202010,8
BGG,20106020,8
BID,25302020,8
BOOM,20106020,8
BRC,20201010,8
BREW,30201010,8
BRKS,45301010,8
CBOE,40203040,8
CCI,60101080,8
CCL,25301020,8
CDTI,25101010,8
CECO,25302010,8
CGNX,45203010,8
CHGG,25302010,8
CLIR,45203010,8
CMT,15101010,8
CNK,25401030,8
CORR,60101080,8
CQH,10102040,8
CQP,10102040,8
CTHR,25203010,8
CXW,60101080,8
DAIO,45203020,8
DDD,45202030,8
DJCO,25401040,8
DNKN,25301040,8
DVD,25301030,8
DXYN,25201020,8
EFII,45202030,8
ELON,45203020,8
EMAN,45203020,8
ETRM,35101010,8
ETSY,25502020,8
EVA,10102050,8
EXA,45103010,8
EYES,35101010,8
FARO,45203010,8
FBHS,20102010,8
FGL,40301020,8
FMSA,10101020,8
FPI,60101080,8
FPP,10102020,8
FTD,25502020,8
FTEK,20201050,8
FUN,25301030,8
GEVO,10102030,8
GFF,20102010,8
GOGO,45101010,8
GPRE,10102030,8
GPRO,25201010,8
GT,25101020,8
GVP,45103010,8
GWR,20304010,8
HAYN,15104050,8
HCLP,10101020,8
HDNG,20106020,8
HOG,25102020,8
HPQ,45202030,8
HRB,25302020,8
HURC,20106020,8
IFON,45201020,8
IMI,45301020,8
INFN,45201020,8
IPDN,45101010,8
IRBT,25201040,8
IRMD,35101010,8
JOUT,25202010,8
JVA,30202030,8
JYNT,35102020,8
KLAC,45301010,8
KSU,20304010,8
KTCC,45203020,8
LABL,20201010,8
LAKE,25203010,8
LBY,25201050,8
LNG,10102040,8
LOPE,25302010,8
LRAD,45203010,8
LRN,25302010,8
LTBR,20202020,8
LVNTA,25502020,8
MBUU,25202010,8
MC,40203020,8
MGPI,30201020,8
MGRC,20201070,8
MINI,20201070,8
MLP,60102030,8
MNST,30201030,8
MO,30203010,8
MON,15101030,8
MPX,25202010,8
MSA,20201060,8
MSN,25201010,8
MTN,25301030,8
NAME,45101010,8
NATH,25301040,8
NCLH,25301020,8
NEU,15101050,8
NHTC,30302010,8
NTIC,15101050,8
NVDA,45301020,8
NWL,25201050,8
NXTD,45103020,8
OLED,45203015,8
OMCL,35103010,8
OMEX,20201070,8
PBPB,25301040,8
PDEX,35101010,8
PEIX,10102030,8
PFIE,10101020,8
PHMD,35101010,8
PLT,45201020,8
PM,30203010,8
PRCP,45203010,8
PRLB,20106020,8
PRSS,25502020,8
PX,15101040,8
RAI,30203010,8
RAIL,20106010,8
RCL,25301020,8
RDNT,35102015,8
REFR,45203010,8
REGI,10102030,8
RESN,45201020,8
REX,10102030,8
