symbol,gics8,textgics_015
RXII,35201010,1
SAGE,35201010,1
SCLN,35202010,1
SCMP,35202010,1
SCYX,35202010,1
SGEN,35201010,1
SGMO,35201010,1
SGYP,35201010,1
SNSS,35201010,1
SPHS,35201010,1
SPPI,35201010,1
SRNE,35201010,1
SRPT,35201010,1
SSH,35101010,1
STDY,35202010,1
SUPN,35202010,1
SYN,35201010,1
TCON,35201010,1
TECH,35203010,1
TENX,35201010,1
TGTX,35201010,1
THLD,35201010,1
TNXP,35201010,1
TROV,35201010,1
TRVN,35201010,1
TSRO,35201010,1
TTPH,35202010,1
TXMD,35202010,1
UTHR,35201010,1
VCEL,35201010,1
VCYT,35201010,1
VICL,35201010,1
VKTX,35201010,1
VNDA,35201010,1
VRML,35101010,1
VRTX,35201010,1
VSAR,35201010,1
VSTM,35201010,1
VTL,35201010,1
VVUS,35202010,1
XBIT,35201010,1
XENT,35202010,1
XLRN,35201010,1
XNCR,35201010,1
XOMA,35201010,1
ZFGN,35201010,1
ZGNX,35202010,1
ZIOP,35201010,1
AGTC,35201010,1
HRTX,35201010,1
IMDZ,35201010,1
ONVO,35201010,1
VBIV,35201010,1
AAPL,45202030,2
ABCO,20202020,2
ABM,20201050,2
ACIW,45103010,2
ACM,20103010,2
ACTA,45101010,2
ACXM,45102010,2
ADBE,45103010,2
ADP,45102020,2
ADS,45102020,2
ADSK,45103010,2
ADTN,45201020,2
AGYS,45203030,2
AKAM,45101010,2
ALSK,50101020,2
AMBR,45101010,2
AMSWA,45103010,2
ANET,45201020,2
APPS,45103010,2
ARC,20201060,2
ARIS,45101010,2
ARRS,45201020,2
ARW,45203030,2
ASUR,45103010,2
ATEN,45103020,2
ATHN,35103010,2
ATNI,50101020,2
AVID,45202030,2
AVNW,45201020,2
AVT,45203030,2
AWRE,45103010,2
AXP,40202010,2
AZPN,45103010,2
BAH,45102010,2
BBOX,45201020,2
BBSI,20202010,2
BCO,20201080,2
BCOV,45101010,2
BDC,45203015,2
BGCP,40203020,2
BLIN,45101010,2
BLKB,45103010,2
BNFT,45101010,2
BOX,45101010,2
BR,45102020,2
BRCD,45201020,2
BRKS,45301010,2
BSFT,45103010,2
BSQR,45103010,2
BTN,25401030,2
BV,45101010,2
BVSN,45101010,2
CA,45103020,2
CACI,45102010,2
CALD,45103010,2
CALX,45201020,2
CAMP,45201020,2
CARB,45101010,2
CASS,45102020,2
CAVM,45301020,2
CBB,50101020,2
CCOI,50101010,2
CCUR,45202030,2
CDI,20202010,2
