symbol,gics8,text_002
A,35203010,0
AA,15104010,0
AAC,35102020,0
AAMC,60102040,0
AAME,40301030,0
AAN,25504060,0
AAOI,45201020,0
AAON,20102010,0
AAP,25504050,0
AAPL,45202030,0
AAT,60101010,0
AAWW,20301010,0
AB,40203010,0
ABAX,35101010,0
ABBV,35201010,0
ABC,35102010,0
ABCD,25302010,0
ABCO,20202020,0
ABDC,40203010,0
ABG,25504050,0
ABIO,35201010,0
ABM,20201050,0
ABMD,35101010,0
ABR,40204010,0
ABT,35101010,0
ABTL,45101010,0
ACAD,35201010,0
ACC,60101060,0
ACCO,20201060,0
ACET,35102010,0
ACHC,35102020,0
ACHN,35201010,0
ACIW,45103010,0
ACLS,45301010,0
ACM,20103010,0
ACOR,35201010,0
ACRE,40204010,0
ACRX,35202010,0
ACSF,40203010,0
ACTA,45101010,0
ACTG,20202020,0
ACU,20201060,0
ACXM,45102010,0
ADBE,45103010,0
ADC,60101070,0
ADGE,55105010,0
ADI,45301020,0
ADK,35102020,0
ADM,30202010,0
ADMA,35201010,0
ADMP,35202010,0
ADMS,35201010,0
ADP,45102020,0
ADRO,35201010,0
ADS,45102020,0
ADSK,45103010,0
ADTN,45201020,0
ADUS,35102015,0
ADXS,35201010,0
AE,10102030,0
AEE,55103010,0
AEGN,20103010,0
AEHR,45301010,0
AEIS,45301010,0
AEL,40301020,0
AEO,25504010,0
AEP,55101010,0
AERI,35202010,0
AES,55105010,0
AET,35102030,0
AETI,20104010,0
AEY,45203030,0
AFG,40301030,0
AFH,40301040,0
AFL,40301020,0
AFSI,40301040,0
AGCO,20106015,0
AGEN,35201010,0
AGIO,35201010,0
AGM,40102010,0
AGNC,40204010,0
AGRX,35202010,0
AGX,20103010,0
AGYS,45203030,0
AHC,25401040,0
AHGP,10102050,0
AHH,60101010,0
AHP,60101030,0
AHPI,35101010,0
AHT,60101030,0
AI,40203010,0
AIG,40301030,0
AIMC,20106020,0
AIN,20106020,0
AINV,40203010,0
AIQ,35102015,0
AIR,20101010,0
AIRI,20101010,0
AIT,20107010,0
AIV,60101060,0
AIZ,40301030,0
AJG,40301010,0
AJRD,20101010,0
AJX,40204010,0
AKAM,45101010,0
AKAO,35202010,0
AKBA,35201010,0
AKR,60101070,0
AKRX,35202010,0
AKS,15104050,0
AL,20107010,0
ALB,15101050,0
ALCO,30202010,0
ALDR,35201010,0
ALDW,10102030,0
ALDX,35201010,0
ALE,55101010,0
ALEX,60102010,0
ALG,20106010,0
ALGN,35101020,0
ALGT,20302010,0
ALIM,35202010,0
ALJ,10102030,0
ALK,20302010,0
ALL,40301040,0
ALNY,35201010,0
ALOG,35101010,0
ALOT,45202030,0
ALQA,35101020,0
ALR,35101020,0
ALSK,50101020,0
ALSN,20106010,0
ALX,60101070,0
ALXN,35201010,0
AM,10102040,0
AMAG,35201010,0
AMAT,45301010,0
AMBA,45301020,0
AMBR,45101010,0
AMC,25401030,0
AMCX,25401020,0
AMD,45301020,0
AME,20104010,0
AMED,35102015,0
AMG,40203010,0
AMGN,35201010,0
AMH,60101060,0
AMID,10102040,0
AMKR,45301010,0
AMOT,20104010,0
AMP,40203010,0
AMPE,35202010,0
AMPH,35202010,0
AMRC,20103010,0
AMRI,35203010,0
AMRK,40201040,0
AMRS,10102030,0
AMS,35102015,0
AMSC,20104010,0
AMSF,40301040,0
AMSWA,45103010,0
AMT,60101080,0
AMTD,40203020,0
AMTX,10102030,0
AMWD,20102010,0
AMZN,25502020,0
AN,25504050,0
ANAT,40301030,0
ANDE,30101020,0
ANET,45201020,0
ANF,25504010,0
ANGI,45101010,0
ANGO,35101010,0
ANH,40204010,0
ANIK,35101020,0
ANIP,35202010,0
ANSS,45103010,0
ANTH,35201010,0
ANTM,35102030,0
AOI,30203010,0
AOS,20102010,0
AOSL,45301020,0
AP,15104050,0
APA,10102020,0
APAM,40203010,0
APC,10102020,0
APD,15101040,0
APDN,45203010,0
APEI,25302010,0
APH,45203015,0
APO,40203010,0
APOG,20102010,0
APPS,45103010,0
APRI,35202010,0
APTS,60101060,0
APU,55102010,0
AR,10102020,0
ARAY,35101010,0
ARC,20201060,0
ARCB,20304020,0
ARCC,40203010,0
ARCI,25504040,0
ARCW,20106020,0
ARCX,10102040,0
ARDM,35202010,0
ARDX,35201010,0
ARE,60101040,0
ARES,40203010,0
AREX,10102020,0
ARI,40204010,0
ARII,20106010,0
ARIS,45101010,0
ARKR,25301040,0
ARLP,10102050,0
ARMK,25301040,0
ARNA,35201010,0
ARQL,35201010,0
ARR,40204010,0
ARRS,45201020,0
ARRY,35201010,0
ARTNA,55104010,0
ARTW,20106015,0
ARTX,20101010,0
ARW,45203030,0
ARWR,35201010,0
ASCMA,25302020,0
ASFI,40202010,0
ASGN,20202010,0
ASH,15101050,0
ASH,15101050,0
ASMB,35202010,0
ASNA,25504010,0
ASPN,10101020,0
AST,35201010,0
ASTC,20101010,0
ASTE,20106010,0
ASUR,45103010,0
ASYS,45301010,0
AT,55105010,0
ATEC,35101010,0
ATEN,45103020,0
ATHN,35103010,0
ATHX,35201010,0
ATI,15104050,0
ATLC,40202010,0
ATNI,50101020,0
ATNM,35201010,0
ATO,55102010,0
ATR,15103010,0
ATRA,35201010,0
ATRC,35101010,0
ATRI,35101020,0
ATRO,20101010,0
ATRS,35101020,0
ATSG,20301010,0
ATVI,45103030,0
ATW,10101010,0
AUMN,15104040,0
AVA,55103010,0
AVAV,20101010,0
AVB,60101060,0
AVD,15101030,0
AVEO,35201010,0
AVGR,35101010,0
AVHI,25201030,0
AVID,45202030,0
AVNW,45201020,0
AVT,45203030,0
AVX,45203015,0
AVY,15103020,0
AWI,20102010,0
AWK,55104010,0
AWR,55104010,0
AWRE,45103010,0
AWX,20201050,0
AXAS,10102020,0
AXDX,35203010,0
AXE,45203030,0
AXGN,35101010,0
AXL,25101010,0
AXP,40202010,0
AXR,20201070,0
AXTA,15101050,0
AXTI,45301010,0
AYI,20104010,0
AYR,20107010,0
AZO,25504050,0
AZPN,45103010,0
AZZ,20104020,0
B,20106020,0
BA,20101010,0
BABY,35101010,0
BAH,45102010,0
BASI,35203010,0
BAX,35101010,0
BBBY,25504060,0
BBG,10102020,0
BBGI,25401020,0
