symbol,gics8,hier.text_068
BABY,35101010,3
BAC,40101010,39
BAH,45102010,8
BANC,40101015,28
BANF,40101015,28
BANR,40101015,28
BASI,35203010,20
BAX,35101010,2
BBBY,25504060,43
BBG,10102020,19
BBGI,25401020,46
BBOX,45201020,3
BBRG,25301040,51
BBSI,20202010,5
BBT,40101015,39
BBW,25504040,43
BBY,25504020,7
BC,25202010,6
BCBP,40101015,28
BCC,15105010,16
BCEI,10102020,19
BCLI,35201010,9
BCO,20201080,18
BCOR,45101010,7
BCOV,45101010,63
BCPC,15101050,1
BCR,35101010,2
BCRX,35201010,4
BDC,45203015,3
BDGE,40101015,28
BDL,25301040,51
BDN,60101040,24
BDR,45201020,63
BDSI,35202010,4
BDX,35101010,20
BEAT,35102015,2
BEBE,25504010,30
BECN,20107010,16
BELFB,45201020,12
BEN,40203010,21
BERY,15103010,16
BFAM,25302010,2
BFIN,40102010,28
BFS,60101070,60
BG,30202010,1
BGC,20104010,12
BGCP,40203020,48
BGFV,25504040,30
BGG,20106020,11
BGS,30202030,34
BH,25301040,51
BHB,40101015,28
BHBK,40101015,28
BHE,45203020,13
BHI,10101020,29
BHLB,40101015,28
BID,25302020,6
BIG,25503020,43
BIIB,35201010,4
BIO,35203010,20
BIOC,35201010,20
BIOL,35101010,3
BIOS,35102015,2
BJRI,25301040,51
BK,40203010,21
BKCC,40203010,35
BKD,35102020,58
BKE,25504010,30
BKEP,10102040,55
BKH,55103010,27
BKJ,40101015,28
BKMU,40102010,44
BKS,25504040,46
BKSC,40101015,28
BKU,40101015,28
BLBD,20106010,17
BLCM,35201010,9
BLDR,20102010,16
BLFS,35101020,9
BLIN,45101010,46
BLK,40203010,21
BLKB,45103010,56
BLL,15103010,57
BLMN,25301040,51
BLMT,40102010,28
BLPH,35101010,4
BLUE,35201010,9
BMI,45203010,49
BMRC,40101015,28
BMRN,35201010,4
BMS,15103020,57
BMTC,40101015,39
BMY,35202010,4
BNCL,40102010,44
BNCN,40101015,28
BNFT,45101010,0
BOBE,25301040,34
BOCH,40101015,28
BOFI,40102010,28
BOH,40101015,39
BOJA,25301040,51
BOKF,40101015,39
BONT,25503010,30
BOOM,20106020,11
BOOT,25504010,43
BOX,45101010,46
BPFH,40101015,21
BPI,25302010,50
BPL,10102040,55
BPMC,35201010,9
BPOP,40101015,39
BPT,10102020,53
BPTH,35202010,9
BR,45102020,8
BRC,20201010,11
BRCD,45201020,56
BREW,30201010,6
BRG,60101060,24
BRKL,40101015,28
BRKR,35203010,20
BRKS,45301010,11
BRN,10102020,29
BRO,40301010,15
BRS,10101020,11
BRSS,20106020,11
BRT,60101060,24
BRX,60101070,60
BSET,25201020,42
BSF,40102010,28
BSFT,45103010,56
BSM,10102020,6
BSQR,45103010,8
BSRR,40101015,28
BSTC,35201010,4
BSX,35101010,2
BTN,25401030,46
BTU,10102050,64
BTX,35201010,9
BURL,25504010,30
BUSE,40101015,38
BV,45101010,46
BVSN,45101010,8
BVX,35101010,2
BWA,25101010,17
BWEN,20104020,54
BWFG,40101015,44
BWINB,40301040,15
BWLD,25301040,51
BWP,10102040,27
BX,40203010,21
BXC,20107010,16
BXMT,40204010,10
BXP,60101040,24
BXS,40101015,39
BYBK,40101015,28
BYD,25301010,66
BZH,25201030,41
C,40101010,39
CA,45103020,8
CAB,25504040,30
CAC,40101015,28
CACB,40101015,44
CACC,40202010,7
CACI,45102010,18
CACQ,25301010,66
CAG,30202030,34
CAH,35102010,0
CAKE,25301040,51
CALA,35201010,9
CALD,45103010,8
CALM,30202030,6
CALX,45201020,56
CAMP,45201020,31
CAPL,10102040,43
CAPN,35101010,4
CAPR,35201010,4
CAR,20304020,17
CARA,35201010,4
CARB,45101010,3
CARO,40101015,39
CART,40101015,28
CARV,40102010,28
CASH,40102010,28
CASI,35201010,9
CASM,35101010,2
CASS,45102020,8
CASY,30101030,43
CAT,20106010,11
CATM,45102020,18
CATO,25504010,30
CATY,40101015,28
CAVM,45301020,56
CAW,30302010,6
CBAN,40101015,28
CBAY,35202010,4
CBB,50101020,31
CBF,40101015,44
CBFV,40101015,44
CBG,60102040,22
CBK,25504010,30
CBL,60101070,60
CBLI,35201010,9
CBM,35203010,1
CBMG,35201010,9
CBMX,35203010,20
CBOE,40203040,48
CBPX,20102010,16
CBRL,25301040,51
CBS,25401020,46
CBSH,40101015,39
CBT,15101010,16
CBU,40101015,39
CBZ,20202020,0
CCBG,40101015,39
CCC,15101010,16
CCF,15101050,16
CCI,60101080,22
CCK,15103010,57
CCL,25301020,7
CCMP,45301010,3
CCNE,40101015,28
CCO,25401010,46
CCOI,50101010,56
