symbol,gics8,hier.text_157
A,35203010,29
AA,15104010,12
AAC,35102020,28
AAMC,60102040,56
AAME,40301030,76
AAN,25504060,26
AAOI,45201020,88
AAON,20102010,142
AAP,25504050,7
AAPL,45202030,6
AAT,60101010,102
AAWW,20301010,65
AB,40203010,1
ABAX,35101010,148
ABBV,35201010,10
ABC,35102010,85
ABCB,40101015,37
ABCD,25302010,101
ABCO,20202020,36
ABDC,40203010,3
ABG,25504050,7
ABIO,35201010,10
ABM,20201050,149
ABMD,35101010,51
ABR,40204010,89
ABT,35101010,0
ABTL,45101010,4
ACAD,35201010,10
ACC,60101060,56
ACCO,20201060,28
ACET,35102010,146
ACFC,40102010,90
ACHC,35102020,133
ACHN,35201010,10
ACIW,45103010,156
ACLS,45301010,27
ACM,20103010,109
ACNB,40101015,37
ACOR,35201010,10
ACRE,40204010,89
ACRX,35202010,153
ACSF,40203010,3
ACTA,45101010,35
ACTG,20202020,155
ACU,20201060,28
ACXM,45102010,38
ADBE,45103010,6
ADC,60101070,102
ADGE,55105010,59
ADI,45301020,108
ADK,35102020,80
ADM,30202010,48
ADMA,35201010,148
ADMP,35202010,10
ADMS,35201010,10
ADP,45102020,81
ADRO,35201010,77
ADS,45102020,38
ADSK,45103010,30
ADTN,45201020,63
ADUS,35102015,0
ADXS,35201010,77
AE,10102030,55
AEE,55103010,47
AEGN,20103010,28
AEHR,45301010,123
AEIS,45301010,54
AEL,40301020,92
AEO,25504010,120
AEP,55101010,47
AERI,35202010,10
AES,55105010,114
AET,35102030,103
AETI,20104010,54
AEY,45203030,25
AF,40102010,90
AFG,40301030,76
AFH,40301040,76
AFL,40301020,103
AFSI,40301040,34
AGCO,20106015,39
AGEN,35201010,32
AGIO,35201010,20
AGM,40102010,28
AGNC,40204010,78
AGRX,35202010,10
AGX,20103010,70
AGYS,45203030,60
AHC,25401040,15
AHGP,10102050,31
AHH,60101010,102
AHP,60101030,75
AHPI,35101010,0
AHT,60101030,75
AI,40203010,78
AIG,40301030,76
AIMC,20106020,74
AIN,20106020,28
AINV,40203010,3
AIQ,35102015,8
AIR,20101010,74
AIRI,20101010,113
AIT,20107010,150
AIV,60101060,125
AIZ,40301030,26
AJG,40301010,34
AJRD,20101010,74
AJX,40204010,89
AKAM,45101010,6
AKAO,35202010,10
AKBA,35201010,10
AKR,60101070,121
AKRX,35202010,146
AKS,15104050,61
AL,20107010,65
ALB,15101050,17
ALCO,30202010,28
ALDR,35201010,32
ALDW,10102030,55
ALDX,35201010,10
ALE,55101010,114
ALEX,60102010,69
ALG,20106010,39
ALGN,35101020,30
ALGT,20302010,65
ALIM,35202010,10
ALJ,10102030,55
ALK,20302010,65
ALL,40301040,34
ALLY,40202010,4
ALNY,35201010,10
ALOG,35101010,8
ALOT,45202030,74
ALQA,35101020,44
ALR,35101020,117
ALSK,50101020,82
ALSN,20106010,21
ALX,60101070,102
ALXN,35201010,10
AM,10102040,57
AMAG,35201010,10
AMAT,45301010,64
AMBA,45301020,127
AMBR,45101010,128
AMC,25401030,72
AMCX,25401020,25
AMD,45301020,27
AME,20104010,59
AMED,35102015,80
AMG,40203010,1
AMGN,35201010,10
AMH,60101060,56
AMID,10102040,73
AMKR,45301010,123
AMNB,40101015,115
AMOT,20104010,74
AMP,40203010,1
AMPE,35202010,10
AMPH,35202010,146
AMRB,40101015,9
AMRC,20103010,114
AMRI,35203010,29
AMRK,40201040,28
AMRS,10102030,48
AMS,35102015,8
AMSC,20104010,114
AMSF,40301040,34
AMSWA,45103010,128
AMT,60101080,56
AMTD,40203020,98
AMTX,10102030,97
AMWD,20102010,45
AMZN,25502020,26
AN,25504050,7
ANAT,40301030,76
ANCX,40101015,37
ANDE,30101020,97
ANET,45201020,63
ANF,25504010,28
ANGI,45101010,26
ANGO,35101010,51
ANH,40204010,78
ANIK,35101020,44
ANIP,35202010,146
ANSS,45103010,27
ANTH,35201010,10
ANTM,35102030,103
AOI,30203010,84
AOS,20102010,49
AOSL,45301020,54
AP,15104050,61
APA,10102020,66
APAM,40203010,1
APC,10102020,112
APD,15101040,59
APDN,45203010,52
APEI,25302010,101
APH,45203015,96
APO,40203010,1
APOG,20102010,43
APPS,45103010,6
APRI,35202010,10
APTS,60101060,125
APU,55102010,83
AR,10102020,57
ARAY,35101010,8
ARC,20201060,62
ARCB,20304020,33
ARCC,40203010,3
ARCI,25504040,13
ARCW,20106020,113
ARCX,10102040,55
ARDM,35202010,10
ARDX,35201010,10
ARE,60101040,102
ARES,40203010,1
AREX,10102020,106
ARI,40204010,89
ARII,20106010,11
ARIS,45101010,60
ARKR,25301040,104
ARLP,10102050,31
ARMK,25301040,149
ARNA,35201010,10
AROW,40101015,115
ARQL,35201010,20
ARR,40204010,78
ARRS,45201020,63
ARRY,35201010,77
ARTNA,55104010,49
ARTW,20106015,39
ARTX,20101010,19
ARW,45203030,27
ARWR,35201010,10
ASB,40101015,122
ASCMA,25302020,45
ASFI,40202010,4
ASGN,20202010,18
ASH,15101050,17
ASH,15101050,17
ASMB,35202010,10
ASNA,25504010,120
ASPN,10101020,28
ASRV,40101015,122
AST,35201010,100
ASTC,20101010,28
ASTE,20106010,59
ASUR,45103010,60
ASYS,45301010,64
AT,55105010,114
ATEC,35101010,44
ATEN,45103020,63
