tic,weburl
IIN,www.intricon.com
EGY,www.vaalco.com
TWO,www.twoharborsinvestment.com
SMP,www.smpcorp.com
HUM,www.humana.com
MON,www.monsanto.com
IMI,www.intermolecular.com
PDFS,www.pdf.com
RAVN,www.ravenind.com
X,www.ussteel.com
GBL,www.gabelli.com
NVFY,www.novalifestyle.com
ECT,NULL
RLD,www.reald.com
TOWR,www.towerinternational.com
PKD,www.parkerdrilling.com
MMI,www.marcusmillichap.com
GSBC,www.greatsouthernbank.com
CNCE,www.concertpharma.com
BRSS,www.gbcholdings.com
BAH,www.boozallen.com
UNH,www.unitedhealthgroup.com
DLTR,www.dollartreestoresinc.com
PCMI,www.pcmall.com
YELP,www.yelp.com
ADVS,www.advent.com
LG,www.thelacledegroup.com
NDLS,www.noodles.com
VIVO,www.meridianbioscience.com
GVP,www.gses.com
CVGW,www.calavo.com
FORM,www.formfactor.com
EBF,www.ennis.com
KINS,www.kingstonecompanies.com
ABCW,www.anchorbank.com
HCP,www.hcpi.com
MW,www.menswearhouse.com
ADAT,www.authentidate.com
FIX,www.comfortsystemsusa.com
GPT,www.gptreit.com
CNL,www.cleco.com
ABMD,www.abiomed.com
TIF,www.tiffany.com
HMSY,www.hms.com
WINA,www.winmarkcorporation.com
ARWR,www.arrowheadresearch.com
MNOV,www.medicinova.com
TRGT,www.targacept.com
CUNB,www.cunb.com
KODK,www.kodak.com
MLNK,www.moduslink.com
HEES,www.he-equipment.com
MHGC,www.morganshotelgroup.com
ALB,www.albemarle.com
TW,www.towerswatson.com
WLDN,www.willdan.com
IIVI,www.ii-vi.com
TWI,www.titan-intl.com
BASI,www.basinc.com
INGR,www.ingredion.com
DPM,www.dcppartners.com
GGG,www.graco.com
CPE,www.callon.com
SIRI,www.siriusxm.com
ULTI,www.ultimatesoftware.com
DXM,www.dexmedia.com
COBZ,www.cobizfinancial.com
CSGP,www.costar.com
ETR,www.entergy.com
QVCA,www.libertyinteractive.com
EVEP,www.evenergypartners.com
HIL,www.hillintl.com
SGYP,www.synergypharma.com
AAN,www.aarons.com
ELGX,www.endologix.com
FDS,www.factset.com
HVT,www.havertys.com
TCB,www.tcfbank.com
FNHC,www.FedNat.com
AXLL,www.axiall.com
JCAP,www.jernigancapital.com
RVP,www.vanishpoint.com
TMH,www.teamhealth.com
ATU,www.actuant.com
ADM,www.admworld.com
GBR,www.newconceptenergy.com
3ENUM,www.enumeral.com
GWB,ir.greatwesternbank.com
VBTX,www.veritexbank.com
KTOS,www.kratosdefense.com
XOXO,www.xogroupinc.com
SYBT,www.syb.com
DF,www.deanfoods.com
NR,www.newpark.com
HRTG,www.heritagepci.com
WLKP,www.wlkpartners.com
DEL,www.deltic.com
SNHY,www.sunhydraulics.com
CALM,www.calmainefoods.com
VCEL,www.aastrom.com
EEFT,www.euronetworldwide.com
GFN,www.generalfinance.com
FANG,www.diamondbackenergy.com
FET,www.f-e-t.com
MOD,www.modine.com
CACQ,www.caesarsacquisitioncompany.com
HDNG,www.hardinge.com
LNCE,www.snyderslance.com
MTSC,www.mts.com
ZAGG,www.zagg.com
VRML,www.vermillion.com
LNKD,www.linkedin.com
CREE,www.cree.com
PEB,www.pebblebrookhotels.com
PLOW,www.douglasdynamics.com
UDF,www.udfiv.com
HFWA,www.heritagebankwa.com
TSBK,www.timberlandbank.com
PSA,www.publicstorage.com
RCL,www.royalcaribbean.com
HTA,www.htareit.com
WAIR,www.wescoair.com
AMPE,www.ampiopharma.com
KRG,www.kiterealty.com
OSBC,www.oldsecond.com
PWOD,www.jssb.com
FLXN,www.flexiontherapeutics.com
ACTA,www.actua.com
USTR,www.unitedstationers.com
BRKS,www.brooks.com
HUSA,www.houstonamericanenergy.com
PBF,www.pbfenergy.com
SCM,www.stelluscapital.com
NTK,www.nortekinc.com
KOSS,www.koss.com
KR,www.kroger.com
BDGE,www.bridgenb.com
EMES,www.emergelp.com
Q,www.quintiles.com
PGEM,www.plygem.com
FRBK,www.myrepublicbank.com
IMH,www.impaccompanies.com
RGC,www.regmovies.com
OSTK,www.overstock.com
WTFC,www.wintrust.com
REE,www.rareelementresources.com
CBS,www.cbscorporation.com
VGR,www.vectorgroupltd.com
MMS,www.maximus.com
RVM,www.revettmining.com
ABR,www.arborrealtytrust.com
SARA,www.saratogaresources.com
ENS,www.enersysinc.com
DLR,www.digitalrealtytrust.com
CVCO,www.cavco.com
NHLD,www.nhldcorp.com
PDCO,www.pattersoncompanies.com
BBOX,www.blackbox.com
INVE,www.identiv.com
CHH,www.choicehotels.com
NP,www.neenah.com
CTG,www.ctg.com
USM,www.uscellular.com
XNPT,www.xenoport.com
3CWBB,www.cwbbank.com
CHCO,www.cityholding.com
TAL,www.talinternational.com
DCI,www.donaldson.com
DMLP,www.dmlp.net
FLR,www.fluor.com
GK,www.gkservices.com
RLH,www.redlion.com
DLX,www.deluxe.com
DBD,www.diebold.com
GNTX,www.gentex.com
GTN,www.gray.tv
GNVC,www.genvec.com
SD,www.sandridgeenergy.com
MLP,www.mauiland.com
MDR,www.mcdermott.com
MLAB,www.mesalabs.com
ACNB,www.acnb.com
VRTA,www.vestinrealtymortgage1.com
TJX,www.tjx.com
HABT,www.habitburger.com
SSNC,www.ssctech.com
BAS,www.basicenergyservices.com
HSC,www.harsco.com
HD,www.homedepot.com
GUID,www.guidancesoftware.com
NGLS,www.targaresources.com
MKL,www.markelcorp.com
CPN,www.calpine.com
BALT,www.baltictrading.com
WRI,www.weingarten.com
WDC,www.westerndigital.com
FCSC,www.fibrocellscience.com
AST,www.biotimeinc.com
CFRX,www.contrafect.com
VYFC,www.myvalleybank.com
IPCM,www.hospitalist.com
ONCE,www.sparktx.com
MXPT,www.maxpoint.com
SLTC,www.selectica.com
NJR,www.njresources.com
NRT,www.neort.com
WHZ,www.whiting.com/whiting-usa-trust-ii
MPO,www.midstatespetroleum.com
PSX,www.phillips66.com
LQ,www.lq.com
NGHC,www.nationalgeneral.com
SC,www.santanderconsumerusa.com
FEYE,www.fireeye.com
BEAT,www.biotelinc.com
SWI,www.solarwinds.com
NX,www.quanex.com
TTC,www.thetorocompany.com
BSTC,www.biospecifics.com
EEP,www.enbridgepartners.com
SAGE,www.sagerx.com
SVT,www.servotronics.com
UPIP,www.unwiredplanet.com
STMP,www.stamps.com
ANTH,www.anthera.com
EFC,www.ellingtonfinancial.com
KALU,www.kaiseraluminum.com
TAYD,www.taylordevices.com
EXA,www.exa.com
AMAG,www.amagpharma.com
PMCS,www.pmc-sierra.com
KEYW,www.keywcorp.com
BRS,www.bristowgroup.com
TCS,www.containerstore.com
OCIP,www.ocipartnerslp.com
XNCR,www.xencor.com
MEP,www.midcoastpartners.com
RSPP,www.rsppermian.com
LRE,www.lrrenergy.com
IROQ,NULL
SMED,www.sharpsinc.com
WD,www.walkerdunlop.com
IFT,www.imperial.com
SXT,www.sensient-tech.com
CTRX,www.catamaranrx.com
CBZ,www.cbiz.com
FBIO,www.coronadobiosciences.com
BREW,www.craftbrew.com
DVA,www.davita.com
SHLD,www.searsholdings.com
CLFD,www.clearfieldconnection.com
SYX,www.systemax.com
FPO,www.first-potomac.com
ASGN,www.onassignment.com
UCBI,www.ucbi.com
BOH,www.boh.com
BSET,www.bassettfurniture.com
OZRK,www.bankozarks.com
UMPQ,www.umpquabank.com
BFAM,www.brighthorizons.com
HTGC,www.htgc.com
CI,www.cigna.com
