symbol,gics8,kmeans.text_024
AAN,25504060,0
AEO,25504010,0
ANF,25504010,0
ARCI,25504040,0
ASNA,25504010,0
BBBY,25504060,0
BBW,25504040,0
BBY,25504020,0
BEBE,25504010,0
BGFV,25504040,0
BIG,25503020,0
BKE,25504010,0
BONT,25503010,0
BOOT,25504010,0
BSET,25201020,0
BURL,25504010,0
CAB,25504040,0
CAPL,10102040,0
CASY,30101030,0
CATO,25504010,0
CBK,25504010,0
CHKE,25203010,0
CHS,25504010,0
COH,25203010,0
COLM,25203010,0
CONN,25504020,0
CORE,25501010,0
COST,30101040,0
CRI,25203010,0
CROX,25203020,0
CST,25504050,0
CTRN,25504010,0
DDS,25503010,0
DECK,25203020,0
DEST,25504010,0
DG,25503020,0
DKS,25504040,0
DLA,25203010,0
DLTR,25503020,0
DPZ,25301040,0
DSW,25504010,0
DXLG,25504010,0
EDUC,25501010,0
ETH,25201020,0
EVLV,25502020,0
EXPR,25504010,0
FCFS,40202010,0
FINL,25504010,0
FIVE,25504040,0
FL,25504010,0
FOSL,25203010,0
FRAN,25504010,0
FRED,25503020,0
GCO,25504010,0
GES,25504010,0
GIII,25203010,0
GPS,25504010,0
GRPN,25502020,0
HBI,25203010,0
HD,25504030,0
HIBB,25504040,0
HOFT,25201020,0
HSNI,25502020,0
HVT,25504060,0
ICON,25203010,0
JAKK,25202010,0
JCP,25503010,0
JMBA,25301040,0
JWN,25503010,0
KATE,25203010,0
KIRK,25504060,0
KOSS,25201010,0
KR,30101030,0
KSS,25503010,0
LB,25504010,0
LCUT,25201050,0
LE,25502020,0
LOW,25504030,0
LZB,25201020,0
M,25503010,0
MAT,25202010,0
MIK,25504040,0
MOV,25203010,0
MUSA,25504050,0
NKE,25203020,0
NLS,25202010,0
NWY,25504010,0
ODP,25504040,0
OSTK,25502020,0
OXM,25203010,0
PERF,25504040,0
PERY,25203010,0
PIR,25504060,0
PLCE,25504010,0
PRSS,25502020,0
PVH,25203010,0
QVCA,25502020,0
RCII,25504020,0
RCKY,25203020,0
RH,25504060,0
RL,25203010,0
RMCF,30202030,0
ROST,25504010,0
SBH,25504040,0
SCVL,25504010,0
SFS,30101030,0
SGC,25203010,0
SGRP,25401010,0
SHLD,25503010,0
SHOO,25203020,0
SHOS,25504030,0
SKX,25203020,0
SMRT,25504010,0
SPLS,25504040,0
SPTN,30101020,0
