symbol,gics8,textgics_010
ALDW,10102030,0
ALJ,10102030,0
ARCX,10102040,0
BKEP,10102040,0
BPL,10102040,0
CEQP,10102040,0
CLMT,10102030,0
CVI,10102030,0
CVRR,10102030,0
CVX,10102010,0
DK,10102030,0
DKL,10102040,0
EPD,10102040,0
FGP,55102010,0
FTAI,20107010,0
GEL,10102040,0
GLP,10102040,0
HEP,10102040,0
HFC,10102030,0
KMI,10102040,0
MMLP,10102040,0
MMP,10102040,0
MPC,10102030,0
MPLX,10102040,0
NGL,10102040,0
NS,10102030,0
NSH,10102040,0
PAA,10102040,0
PAGP,10102040,0
PARR,10102030,0
PBF,10102030,0
PBFX,10102040,0
PSX,10102030,0
PSXP,10102040,0
SEMG,10102040,0
SHLX,10102040,0
SPH,55102010,0
SRLP,10102040,0
TEGP,10102040,0
TEP,10102040,0
TLLP,10102040,0
TLP,10102040,0
TRGP,10102040,0
TSO,10102030,0
USDP,10102040,0
VLO,10102030,0
VLP,10102040,0
VTNR,10102030,0
WNR,10102030,0
WNRL,10102040,0
WPT,10102040,0
A,35203010,1
AAOI,45201020,1
AAON,20102010,1
ABT,35101010,1
ACET,35102010,1
ACLS,45301010,1
ADGE,55105010,1
ADI,45301020,1
AEGN,20103010,1
AEHR,45301010,1
AEIS,45301010,1
AETI,20104010,1
AEY,45203030,1
AGCO,20106015,1
AGX,20103010,1
AHPI,35101010,1
AIMC,20106020,1
AIN,20106020,1
AIR,20101010,1
AIRI,20101010,1
AIT,20107010,1
AJRD,20101010,1
AKS,15104050,1
ALB,15101050,1
ALE,55101010,1
ALG,20106010,1
ALOG,35101010,1
ALOT,45202030,1
ALSN,20106010,1
AMAT,45301010,1
AME,20104010,1
AMKR,45301010,1
AMOT,20104010,1
AMRC,20103010,1
AMSC,20104010,1
ANSS,45103010,1
AOS,20102010,1
AOSL,45301020,1
AP,15104050,1
APD,15101040,1
APH,45203015,1
APOG,20102010,1
ARCW,20106020,1
ARII,20106010,1
ARTW,20106015,1
ARTX,20101010,1
ASH,15101050,1
ASH,15101050,1
ASPN,10101020,1
ASTE,20106010,1
ASYS,45301010,1
AT,55105010,1
ATI,15104050,1
ATRI,35101020,1
ATRO,20101010,1
AVAV,20101010,1
AVX,45203015,1
AVY,15103020,1
AWI,20102010,1
AWK,55104010,1
AXE,45203030,1
AXL,25101010,1
AXTA,15101050,1
AXTI,45301010,1
AYI,20104010,1
AZZ,20104020,1
B,20106020,1
BA,20101010,1
BASI,35203010,1
BCC,15105010,1
BCPC,15101050,1
BDX,35101010,1
BECN,20107010,1
BELFB,45201020,1
BERY,15103010,1
BGC,20104010,1
BGG,20106020,1
BHE,45203020,1
BHI,10101020,1
BIO,35203010,1
BIOL,35101010,1
BLDR,20102010,1
BLL,15103010,1
BMI,45203010,1
BMS,15103020,1
BOOM,20106020,1
BRC,20201010,1
BRKR,35203010,1
BRSS,20106020,1
BVX,35101010,1
BWA,25101010,1
BWEN,20104020,1
BXC,20107010,1
CAT,20106010,1
CBPX,20102010,1
CBT,15101010,1
CCC,15101010,1
CCF,15101050,1
CCMP,45301010,1
CDNS,45103010,1
CDTI,25101010,1
CE,15101050,1
CECE,20201050,1
CEVA,45301020,1
CFX,20106020,1
CGNX,45203010,1
CIR,20106020,1
CIX,20201060,1
CKH,10101020,1
CLFD,45201020,1
CLH,20201050,1
CLIR,45203010,1
CMC,15104050,1
CMCO,20106020,1
CMI,20106010,1
COHR,45203010,1
COHU,45301010,1
COL,20101010,1
CPN,55105010,1
CPS,25101010,1
CPST,20104020,1
CR,20106020,1
CREE,45301020,1
CRR,10101020,1
CRS,15104050,1
CRUS,45301020,1
CSL,20105010,1
CTS,45203020,1
CUI,45203010,1
CUO,20102010,1
CVGI,20106010,1
CVU,20101010,1
CVV,45301010,1
CW,20101010,1
CWT,55104010,1
CY,45301020,1
CYBE,45301010,1
DAIO,45203020,1
DAKT,45203010,1
DAN,25101010,1
DCI,20106020,1
DCO,20101010,1
DD,15101020,1
DDD,45202030,1
DE,20106015,1
DHR,35101010,1
DIOD,45301020,1
DNOW,20107010,1
DOOR,20102010,1
DOV,20106020,1
DOW,15101020,1
DPW,20104010,1
DRQ,10101020,1
DXPE,20107010,1
DY,20103010,1
DYSL,45203010,1
ECL,15101050,1
ECOL,20201050,1
EFII,45202030,1
EFOI,20104010,1
ELON,45203020,1
EME,20103010,1
EMKR,45201020,1
EML,20106020,1
EMN,15101020,1
EMR,20104010,1
ENPH,20104010,1
ENS,20104010,1
ENSV,10101020,1
ENTG,45301010,1
ERII,20106020,1
ESE,20106020,1
ESIO,45203010,1
ESL,20101010,1
ESP,20104010,1
ETR,55101010,1
EVI,20107010,1
EXP,15102010,1
EXPO,20202020,1
FARO,45203010,1
FAST,20107010,1
FBHS,20102010,1
FCEL,20104010,1
FEIM,45203010,1
FELE,20106020,1
FENX,25501010,1
FET,10101020,1
FF,15101050,1
FIX,20103010,1
FLIR,45203010,1
FLR,20103010,1
FLS,20106020,1
FNSR,45201020,1
FOE,15101050,1
FORD,25203010,1
FORM,45301010,1
FRD,15104050,1
FSLR,45301020,1
FSS,20106010,1
FSTR,20106020,1
FTEK,20201050,1
FTK,15101050,1
FUL,15101050,1
GBX,20106010,1
GD,20101010,1
GE,20105010,1
GEF,15103010,1
GENC,20106020,1
GEOS,10101020,1
GFF,20102010,1
GFN,20107010,1
GGG,20106020,1
GHM,20106020,1
GIFI,10101020,1
GIGA,45203010,1
GLT,15105020,1
GLW,45203015,1
GNRC,20104010,1
GNTX,25101010,1
GPC,25501010,1
GRA,15101050,1
GRC,20106020,1
GSIT,45301020,1
GT,25101020,1
GTLS,20106020,1
GV,20103010,1
GVA,20103010,1
GVP,45103010,1
GWW,20107010,1
HAL,10101020,1
HASI,40204010,1
HAYN,15104050,1
HBIO,35203010,1
HBP,20107010,1
HCC,15104050,1
HCCI,20201050,1
HDNG,20106020,1
HDS,20107010,1
HDSN,20201050,1
HEES,20107010,1
HEI,20101010,1
HI,20106020,1
HII,20101010,1
HLX,10101020,1
HNH,15104050,1
HON,20105010,1
HRC,35101010,1
HSC,20106020,1
HUN,15101020,1
HURC,20106020,1
HWCC,20107010,1
HWKN,15101010,1
HXL,20101010,1
IART,35101010,1
ICUI,35101020,1
IDSA,20201050,1
IDTI,45301020,1
IEC,45203020,1
IEP,20105010,1
IESC,20103010,1
IEX,20106020,1
IIIN,20102010,1
IIN,45203015,1
IIVI,45203015,1
IMI,45301020,1
INTT,45301010,1
IOSP,15101050,1
IP,15103020,1
IPGP,45203020,1
IPHI,45301020,1
IPWR,20104010,1
ISNS,45203010,1
ISSC,20101010,1
ITRI,45203010,1
ITT,20106020,1
ITW,20106020,1
IVAC,45202030,1
IXYS,45301020,1
JASN,20106020,1
JBL,45203020,1
JBT,20106020,1
JOUT,25202010,1
KAI,20106020,1
KALU,15104010,1
KAMN,20107010,1
KE,45203020,1
KEM,45203020,1
KEQU,35101010,1
KEX,20303010,1
KEYS,45203010,1
KLAC,45301010,1
KLXI,20101010,1
KMG,15101050,1
KMT,20106020,1
KN,45203015,1
KOP,15101010,1
KOPN,45301020,1
KRA,15101050,1
KRO,15101010,1
KS,15105020,1
KTCC,45203020,1
LAKE,25203010,1
LAWS,20107010,1
LAYN,20103010,1
LDL,20106020,1
LEA,25101010,1
LECO,20106020,1
LEG,25201020,1
LFUS,45203015,1
LGL,45203015,1
LII,20102010,1
LKQ,25501010,1
LLL,20101010,1
LMIA,20101010,1
LMNX,35203010,1
LMT,20101010,1
LNN,20106015,1
LPTH,45203010,1
LPX,15105010,1
LRCX,45301010,1
LSCC,45301020,1
LTBR,20202020,1
LUNA,45203010,1
LXU,15101020,1
LYTS,20104010,1
MATW,20201070,1
MCHP,45301020,1
MDR,10101020,1
MEI,45203020,1
MG,20202020,1
MGRC,20201070,1
MIC,20305010,1
MICT,20101010,1
MIDD,20106020,1
MIND,10101020,1
MINI,20201070,1
MKSI,45301010,1
MLAB,45203010,1
MLI,20106020,1
MLM,15102010,1
MMM,20105010,1
MNTX,20106010,1
MOCO,45203010,1
MOD,25101010,1
MOSY,45301020,1
MPAA,25101010,1
MPWR,45301020,1
MRCY,20101010,1
MSA,20201060,1
MSCC,45301020,1
MSEX,55104010,1
MSM,20107010,1
MTD,35203010,1
MTOR,20106010,1
MTRN,15104020,1
MTSC,45203010,1
MTSI,45301020,1
MTX,15101050,1
MTZ,20103010,1
MU,45301020,1
MVIS,45203010,1
MWA,20106020,1
MXIM,45301020,1
