symbol,gics8,text_011
AAN,25504060,0
AAP,25504050,0
AAWW,20301010,0
ABCD,25302010,0
ABG,25504050,0
ABTL,45101010,0
ACCO,20201060,0
ACU,20201060,0
AEO,25504010,0
AHC,25401040,0
AL,20107010,0
ALDW,10102030,0
ALGT,20302010,0
ALK,20302010,0
AMC,25401030,0
AMCX,25401020,0
AMRK,40201040,0
AMWD,20102010,0
AMZN,25502020,0
AN,25504050,0
ANF,25504010,0
AOI,30203010,0
APEI,25302010,0
ARCI,25504040,0
ARKR,25301040,0
ASFI,40202010,0
ASNA,25504010,0
ATVI,45103030,0
AVHI,25201030,0
AYR,20107010,0
AZO,25504050,0
BBBY,25504060,0
BBGI,25401020,0
BBRG,25301040,0
BBW,25504040,0
BBY,25504020,0
BC,25202010,0
BDL,25301040,0
BEBE,25504010,0
BGFV,25504040,0
BGS,30202030,0
BH,25301040,0
BID,25302020,0
BIG,25503020,0
BJRI,25301040,0
BKD,35102020,0
BKE,25504010,0
BKS,25504040,0
BLMN,25301040,0
BOBE,25301040,0
BOJA,25301040,0
BONT,25503010,0
BOOT,25504010,0
BPI,25302010,0
BREW,30201010,0
BSET,25201020,0
BURL,25504010,0
BWLD,25301040,0
BYD,25301010,0
BZH,25201030,0
CAB,25504040,0
CACC,40202010,0
CACQ,25301010,0
CAG,30202030,0
CAKE,25301040,0
CALM,30202030,0
CAPL,10102040,0
CAR,20304020,0
CASY,30101030,0
CATO,25504010,0
CAW,30302010,0
CBK,25504010,0
CBOE,40203040,0
CBRL,25301040,0
CBS,25401020,0
CCI,60101080,0
CCL,25301020,0
CCO,25401010,0
CCS,25201030,0
CDE,15104045,0
CECO,25302010,0
CENTA,30301010,0
CFI,25203030,0
CHDN,25301010,0
CHEF,30101020,0
CHGG,25302010,0
CHH,25301020,0
CHKE,25203010,0
CHS,25504010,0
CHUY,25301040,0
CIDM,25401030,0
CLCT,25302020,0
CLUB,25301030,0
CLX,30301010,0
CMCSA,25401025,0
CMG,25301040,0
CMLS,25401020,0
CNK,25401030,0
CNTY,25301010,0
COH,25203010,0
COKE,30201030,0
COLM,25203010,0
CONN,25504020,0
CORE,25501010,0
COST,30101040,0
COT,30201030,0
