symbol,gics8,hier.text_024
A,35203010,22
AA,15104010,3
AAC,35102020,1
AAMC,60102040,7
AAME,40301030,11
AAN,25504060,1
AAOI,45201020,10
AAON,20102010,3
AAP,25504050,3
AAPL,45202030,8
AAT,60101010,7
AAWW,20301010,1
AB,40203010,6
ABAX,35101010,22
ABBV,35201010,9
ABC,35102010,5
ABCB,40101015,19
ABCD,25302010,1
ABCO,20202020,15
ABDC,40203010,17
ABG,25504050,3
ABIO,35201010,9
ABM,20201050,3
ABMD,35101010,22
ABR,40204010,21
ABT,35101010,22
ABTL,45101010,1
ACAD,35201010,9
ACC,60101060,7
ACCO,20201060,1
ACET,35102010,1
ACFC,40102010,12
ACHC,35102020,5
ACHN,35201010,9
ACIW,45103010,15
ACLS,45301010,10
ACM,20103010,0
ACNB,40101015,19
ACOR,35201010,9
ACRE,40204010,21
ACRX,35202010,9
ACSF,40203010,17
ACTA,45101010,23
ACTG,20202020,1
ACU,20201060,1
ACXM,45102010,15
ADBE,45103010,8
ADC,60101070,7
ADGE,55105010,3
ADI,45301020,10
ADK,35102020,5
ADM,30202010,1
ADMA,35201010,22
ADMP,35202010,9
ADMS,35201010,9
ADP,45102020,15
ADRO,35201010,9
ADS,45102020,15
ADSK,45103010,10
ADTN,45201020,23
ADUS,35102015,22
ADXS,35201010,9
AE,10102030,4
AEE,55103010,13
AEGN,20103010,1
AEHR,45301010,10
AEIS,45301010,10
AEL,40301020,11
AEO,25504010,14
AEP,55101010,13
AERI,35202010,9
AES,55105010,0
AET,35102030,5
AETI,20104010,10
AEY,45203030,8
AF,40102010,12
AFG,40301030,11
AFH,40301040,11
AFL,40301020,5
AFSI,40301040,11
AGCO,20106015,3
AGEN,35201010,9
AGIO,35201010,9
AGM,40102010,1
AGNC,40204010,21
AGRX,35202010,9
AGX,20103010,0
AGYS,45203030,15
AHC,25401040,8
AHGP,10102050,0
AHH,60101010,7
AHP,60101030,18
AHPI,35101010,22
AHT,60101030,18
AI,40203010,21
AIG,40301030,11
AIMC,20106020,3
AIN,20106020,1
AINV,40203010,17
AIQ,35102015,22
AIR,20101010,3
AIRI,20101010,3
AIT,20107010,3
AIV,60101060,7
AIZ,40301030,1
AJG,40301010,11
AJRD,20101010,3
AJX,40204010,21
AKAM,45101010,8
AKAO,35202010,9
AKBA,35201010,9
AKR,60101070,7
AKRX,35202010,1
AKS,15104050,3
AL,20107010,1
ALB,15101050,1
ALCO,30202010,1
ALDR,35201010,9
ALDW,10102030,4
ALDX,35201010,9
ALE,55101010,0
ALEX,60102010,7
ALG,20106010,3
ALGN,35101020,10
ALGT,20302010,1
ALIM,35202010,9
ALJ,10102030,4
ALK,20302010,1
ALL,40301040,11
ALLY,40202010,1
ALNY,35201010,9
ALOG,35101010,22
ALOT,45202030,3
ALQA,35101020,22
ALR,35101020,22
ALSK,50101020,23
ALSN,20106010,3
ALX,60101070,7
ALXN,35201010,9
AM,10102040,0
AMAG,35201010,9
AMAT,45301010,10
AMBA,45301020,8
AMBR,45101010,15
AMC,25401030,1
AMCX,25401020,8
AMD,45301020,10
AME,20104010,3
AMED,35102015,5
AMG,40203010,6
AMGN,35201010,9
AMH,60101060,7
AMID,10102040,4
AMKR,45301010,10
AMNB,40101015,12
AMOT,20104010,3
AMP,40203010,6
AMPE,35202010,9
AMPH,35202010,1
AMRB,40101015,12
AMRC,20103010,0
AMRI,35203010,22
AMRK,40201040,1
AMRS,10102030,1
AMS,35102015,22
AMSC,20104010,0
AMSF,40301040,11
AMSWA,45103010,15
AMT,60101080,7
AMTD,40203020,6
AMTX,10102030,1
AMWD,20102010,15
AMZN,25502020,1
AN,25504050,3
ANAT,40301030,11
ANCX,40101015,19
ANDE,30101020,1
ANET,45201020,23
ANF,25504010,1
ANGI,45101010,1
ANGO,35101010,22
ANH,40204010,21
ANIK,35101020,22
ANIP,35202010,1
ANSS,45103010,10
ANTH,35201010,9
ANTM,35102030,5
AOI,30203010,1
AOS,20102010,0
AOSL,45301020,10
AP,15104050,3
APA,10102020,2
APAM,40203010,6
APC,10102020,4
APD,15101040,3
APDN,45203010,15
APEI,25302010,1
APH,45203015,10
APO,40203010,6
APOG,20102010,1
APPS,45103010,8
APRI,35202010,9
APTS,60101060,7
APU,55102010,0
AR,10102020,0
ARAY,35101010,22
ARC,20201060,10
ARCB,20304020,16
ARCC,40203010,17
ARCI,25504040,14
ARCW,20106020,3
ARCX,10102040,4
ARDM,35202010,9
ARDX,35201010,9
ARE,60101040,7
ARES,40203010,6
AREX,10102020,2
ARI,40204010,21
ARII,20106010,3
ARIS,45101010,15
ARKR,25301040,1
ARLP,10102050,0
ARMK,25301040,3
ARNA,35201010,9
AROW,40101015,12
ARQL,35201010,9
ARR,40204010,21
ARRS,45201020,23
ARRY,35201010,9
ARTNA,55104010,0
ARTW,20106015,3
ARTX,20101010,3
ARW,45203030,10
ARWR,35201010,9
ASB,40101015,19
ASCMA,25302020,15
ASFI,40202010,1
ASGN,20202010,15
ASH,15101050,1
ASH,15101050,1
ASMB,35202010,9
ASNA,25504010,14
ASPN,10101020,1
ASRV,40101015,19
AST,35201010,9
ASTC,20101010,1
ASTE,20106010,3
ASUR,45103010,15
ASYS,45301010,10
AT,55105010,0
ATEC,35101010,22
ATEN,45103020,23
ATHN,35103010,5
ATHX,35201010,9
ATI,15104050,3
ATLC,40202010,1
ATLO,40101015,12
ATNI,50101020,23
ATNM,35201010,9
ATO,55102010,13
ATR,15103010,1
ATRA,35201010,9
ATRC,35101010,22
ATRI,35101020,22
ATRO,20101010,3
ATRS,35101020,1
ATSG,20301010,1
ATVI,45103030,1
ATW,10101010,0
AUMN,15104040,0
AVA,55103010,13
AVAV,20101010,3
AVB,60101060,7
AVD,15101030,1
AVEO,35201010,9
AVGR,35101010,22
AVHI,25201030,20
AVID,45202030,8
AVNW,45201020,10
AVT,45203030,10
AVX,45203015,3
AVY,15103020,1
AWI,20102010,1
AWK,55104010,0
AWR,55104010,0
AWRE,45103010,15
AWX,20201050,1
AXAS,10102020,2
AXDX,35203010,22
AXE,45203030,10
AXGN,35101010,22
AXL,25101010,3
AXP,40202010,1
AXR,20201070,7
AXTA,15101050,1
AXTI,45301010,10
AYI,20104010,3
AYR,20107010,1
AZO,25504050,3
AZPN,45103010,15
AZZ,20104020,3
B,20106020,3
BA,20101010,15
BABY,35101010,10
BAC,40101010,19
BAH,45102010,15
BANC,40101015,12
BANF,40101015,12
BANR,40101015,12
BASI,35203010,22
BAX,35101010,22
BBBY,25504060,14
BBG,10102020,2
BBGI,25401020,8
BBOX,45201020,10
BBRG,25301040,1
BBSI,20202010,15
BBT,40101015,19
BBW,25504040,14
BBY,25504020,1
BC,25202010,1
BCBP,40101015,12
BCC,15105010,1
BCEI,10102020,2
BCLI,35201010,9
BCO,20201080,15
BCOR,45101010,1
BCOV,45101010,8
BCPC,15101050,1
BCR,35101010,22
BCRX,35201010,9
BDC,45203015,10
BDGE,40101015,12
BDL,25301040,1
BDN,60101040,7
BDR,45201020,8
BDSI,35202010,9
BDX,35101010,22
BEAT,35102015,22
BEBE,25504010,14
BECN,20107010,1
BELFB,45201020,10
BEN,40203010,6
BERY,15103010,1
BFAM,25302010,22
BFIN,40102010,12
BFS,60101070,7
BG,30202010,1
BGC,20104010,10
BGCP,40203020,6
BGFV,25504040,14
BGG,20106020,3
BGS,30202030,1
BH,25301040,1
BHB,40101015,12
BHBK,40101015,12
BHE,45203020,10
BHI,10101020,0
BHLB,40101015,12
BID,25302020,1
BIG,25503020,14
BIIB,35201010,9
BIO,35203010,22
BIOC,35201010,22
BIOL,35101010,10
BIOS,35102015,22
BJRI,25301040,1
BK,40203010,6
BKCC,40203010,17
BKD,35102020,5
BKE,25504010,14
BKEP,10102040,4
BKH,55103010,13
BKJ,40101015,12
BKMU,40102010,12
BKS,25504040,8
BKSC,40101015,12
BKU,40101015,12
BLBD,20106010,3
BLCM,35201010,9
BLDR,20102010,1
BLFS,35101020,9
BLIN,45101010,8
BLK,40203010,6
BLKB,45103010,23
BLL,15103010,1
BLMN,25301040,1
BLMT,40102010,12
BLPH,35101010,9
BLUE,35201010,9
BMI,45203010,0
BMRC,40101015,12
BMRN,35201010,9
BMS,15103020,1
BMTC,40101015,19
BMY,35202010,9
BNCL,40102010,12
BNCN,40101015,12
BNFT,45101010,5
BOBE,25301040,1
BOCH,40101015,12
BOFI,40102010,12
BOH,40101015,19
BOJA,25301040,1
BOKF,40101015,19
BONT,25503010,14
BOOM,20106020,3
BOOT,25504010,14
BOX,45101010,8
BPFH,40101015,6
BPI,25302010,1
BPL,10102040,4
BPMC,35201010,9
BPOP,40101015,19
BPT,10102020,2
BPTH,35202010,9
BR,45102020,15
BRC,20201010,3
BRCD,45201020,23
BREW,30201010,1
BRG,60101060,7
BRKL,40101015,12
BRKR,35203010,22
BRKS,45301010,3
BRN,10102020,0
BRO,40301010,11
BRS,10101020,3
BRSS,20106020,3
BRT,60101060,7
BRX,60101070,7
BSET,25201020,1
BSF,40102010,12
BSFT,45103010,23
BSM,10102020,1
BSQR,45103010,15
BSRR,40101015,12
BSTC,35201010,9
BSX,35101010,22
BTN,25401030,8
BTU,10102050,0
BTX,35201010,9
BURL,25504010,14
BUSE,40101015,15
BV,45101010,8
BVSN,45101010,15
BVX,35101010,22
BWA,25101010,3
BWEN,20104020,0
BWFG,40101015,12
BWINB,40301040,11
BWLD,25301040,1
BWP,10102040,13
BX,40203010,6
BXC,20107010,1
BXMT,40204010,21
BXP,60101040,7
BXS,40101015,19
BYBK,40101015,12
BYD,25301010,1
BZH,25201030,20
C,40101010,19
CA,45103020,15
CAB,25504040,14
CAC,40101015,12
CACB,40101015,12
CACC,40202010,1
CACI,45102010,15
CACQ,25301010,1
CAG,30202030,1
CAH,35102010,5
CAKE,25301040,1
CALA,35201010,9
CALD,45103010,15
CALM,30202030,1
CALX,45201020,23
CAMP,45201020,23
CAPL,10102040,14
CAPN,35101010,9
CAPR,35201010,9
CAR,20304020,3
CARA,35201010,9
CARB,45101010,10
CARO,40101015,19
CART,40101015,12
CARV,40102010,12
CASH,40102010,12
CASI,35201010,9
CASM,35101010,22
CASS,45102020,15
CASY,30101030,14
CAT,20106010,3
CATM,45102020,15
CATO,25504010,14
CATY,40101015,12
CAVM,45301020,23
CAW,30302010,1
CBAN,40101015,12
CBAY,35202010,9
CBB,50101020,23
CBF,40101015,12
CBFV,40101015,12
CBG,60102040,7
CBK,25504010,14
CBL,60101070,7
CBLI,35201010,9
CBM,35203010,1
CBMG,35201010,9
CBMX,35203010,22
CBOE,40203040,6
CBPX,20102010,1
CBRL,25301040,1
CBS,25401020,8
CBSH,40101015,19
CBT,15101010,1
CBU,40101015,19
CBZ,20202020,5
CCBG,40101015,19
CCC,15101010,1
CCF,15101050,1
CCI,60101080,7
CCK,15103010,1
CCL,25301020,1
CCMP,45301010,10
CCNE,40101015,12
CCO,25401010,8
CCOI,50101010,23
CCRN,35102015,15
CCS,25201030,20
CCUR,45202030,8
CDE,15104045,0
CDI,20202010,15
CDK,45103010,8
CDNS,45103010,10
CDR,60101070,7
CDTI,25101010,3
CDTX,35201010,9
CDW,45203030,15
CDXS,15101050,1
CDZI,55104010,0
CE,15101050,1
CECE,20201050,3
CECO,25302010,1
CELG,35201010,9
CELP,20201050,3
CEMI,35101020,22
CEMP,35202010,9
CENTA,30301010,14
CENX,15104010,3
CEQP,10102040,4
CERN,35103010,5
CERS,35101020,22
CERU,35201010,9
CEVA,45301020,10
CF,15101030,1
CFBK,40102010,12
CFFI,40101015,19
CFFN,40102010,12
CFG,40101015,19
CFI,25203030,1
CFNB,40101015,12
CFR,40101015,6
CFRX,35201010,9
CFX,20106020,3
CG,40203010,17
CGI,20304020,16
CGNT,35101010,22
CGNX,45203010,22
CHCI,25201030,7
CHCO,40101015,12
CHD,30301010,22
CHDN,25301010,1
CHE,35102015,1
CHEF,30101020,1
CHFC,40101015,12
CHFN,40102010,12
CHGG,25302010,1
CHH,25301020,18
CHK,10102020,2
CHKE,25203010,1
CHKR,10102020,2
CHMG,40101015,19
CHMI,40204010,21
CHRS,35201010,9
CHRW,20301010,16
CHS,25504010,14
CHSP,60101030,18
CHTR,25401025,23
CHUY,25301040,1
CI,35102030,11
CIA,40301020,11
CIDM,25401030,8
CIE,10102020,2
CIEN,45201020,23
CIM,40204010,21
CINF,40301040,11
CIR,20106020,3
CIT,40101015,19
CIVB,40101015,12
CIVI,35102015,5
CIX,20201060,3
CKH,10101020,0
CL,30301010,22
CLCT,25302020,1
CLD,10102050,0
CLDT,60101030,18
CLDX,35201010,9
CLF,15104050,1
CLFD,45201020,10
CLGX,45102020,15
CLH,20201050,0
CLI,60101040,7
CLIR,45203010,3
CLMT,10102030,1
CLNE,10102030,13
CLR,10102020,2
CLRB,35201010,9
CLRO,45201020,10
CLSN,35201010,9
CLUB,25301030,1
CLVS,35201010,9
CLW,15105020,1
CLX,30301010,22
CMA,40101010,19
CMC,15104050,3
CMCO,20106020,3
CMCSA,25401025,8
CMCT,40204010,7
CME,40203040,6
CMFN,40203010,17
CMG,25301040,1
CMI,20106010,3
CMLS,25401020,8
CMO,40204010,21
CMP,15104020,1
CMRX,35201010,9
CMS,55103010,13
CMT,15101010,1
CMTL,45201020,23
CNA,40301040,11
CNAT,35201010,9
CNBKA,40101015,12
CNC,35102030,5
CNCE,35201010,9
CNK,25401030,1
CNMD,35101010,22
CNNX,10102040,0
CNO,40301020,11
CNOB,40101015,12
CNP,55103010,13
CNS,40203010,6
CNSL,50101020,23
CNTY,25301010,1
CNX,10102050,2
CNXR,35103010,5
COBZ,40101015,19
CODI,40201030,17
COF,40202010,19
COG,10102020,2
COH,25203010,14
COHR,45203010,10
COHU,45301010,10
COKE,30201030,1
COL,20101010,15
COLB,40101015,19
COLL,35202010,9
COLM,25203010,14
COMM,45201020,10
CONE,60101080,15
CONN,25504020,1
COO,35101020,22
COOL,45103030,22
COP,10102020,4
COR,60101080,15
CORE,25501010,14
CORI,35202010,9
CORR,60101080,7
CORT,35202010,9
COST,30101040,1
COT,30201030,1
COTY,30302010,1
COUP,45101010,15
COVS,45103020,15
COWN,40203020,6
CPB,30202030,1
CPE,10102020,2
CPF,40101015,19
CPHC,25301010,1
CPK,55102010,13
CPLA,25302010,1
CPN,55105010,0
CPRT,20201070,3
CPRX,35201010,9
CPS,25101010,3
CPSI,35103010,5
CPSS,40202010,1
CPST,20104020,3
CPT,60101060,7
CPTA,40203010,17
CQH,10102040,0
CQP,10102040,0
CR,20106020,3
CRAI,20202020,15
CRAY,45202030,15
CRBP,35201010,9
CRC,10102020,2
CRCM,45101010,22
CRDS,45202030,1
CREE,45301020,3
CRI,25203010,14
CRIS,35201010,9
CRK,10102020,2
CRL,35203010,22
CRM,45103010,23
CRMD,35201010,9
CRMT,25504050,3
CROX,25203020,14
CRR,10101020,3
CRS,15104050,3
CRT,10102020,2
CRTN,45102010,15
CRUS,45301020,10
CRVL,35102015,15
CRWS,25203030,1
CRY,35101010,22
CRZO,10102020,2
CSBK,40102010,12
CSCO,45201020,23
CSFL,40101015,12
CSGP,45101010,7
CSGS,45102020,15
CSII,35101010,22
CSL,20105010,1
CSLT,35103010,5
CSOD,45101010,15
CSPI,45102010,15
CSS,25201050,1
CST,25504050,14
CSU,35102020,5
CSV,25302020,1
CSWC,40203010,17
CSX,20304010,3
CTAS,20201070,3
CTB,25101020,3
CTBI,40101015,12
CTG,45102010,15
CTHR,25203010,1
CTIC,35201010,9
CTL,50101020,23
CTLT,35202010,22
CTO,60102010,7
CTRE,60101050,5
CTRL,45203010,10
CTRN,25504010,14
CTRV,35202010,9
CTS,45203020,10
CTSH,45102010,15
CTSO,35101010,22
CTT,60101080,7
CTWS,55104010,0
CTXS,45103010,15
CUB,20101010,15
CUBE,60101080,7
CUBI,40101015,12
CUDA,45103020,15
CUI,45203010,3
CUNB,40101015,12
CUO,20102010,3
CUR,35201010,9
CUTR,35101010,10
CUZ,60101040,7
CVA,20201050,0
CVBF,40101015,12
CVCO,25201030,20
CVCY,40101015,12
CVEO,20201070,3
CVG,45102020,15
CVGI,20106010,3
CVGW,30202030,1
CVI,10102030,1
CVLT,45103020,15
CVLY,40101015,12
CVO,20201010,10
CVRR,10102030,4
CVS,30101010,5
CVTI,20304020,16
CVU,20101010,3
CVV,45301010,10
CVX,10102010,4
CW,20101010,3
CWAY,40102010,12
CWST,20201050,0
CWT,55104010,0
CXO,10102020,2
CXP,60101040,7
CXW,60101080,3
CY,45301020,10
CYBE,45301010,10
CYCC,35201010,9
CYH,35102020,5
CYTK,35201010,9
CYTR,35201010,9
CYTX,35201010,9
CZNC,40101015,12
CZR,25301010,1
D,55103010,13
DAIO,45203020,15
DAKT,45203010,10
DAL,20302010,1
DAN,25101010,3
DAR,30202010,1
DATA,45103020,15
DAVE,25301040,1
DBD,45202030,15
DCI,20106020,3
DCO,20101010,3
DCOM,40102010,12
DCT,60101020,7
DD,15101020,1
DDD,45202030,10
DDE,25301010,1
DDR,60101070,7
DDS,25503010,14
DE,20106015,3
DEA,60101040,7
DECK,25203020,14
DEI,60101040,7
DEL,15105010,7
DENN,25301040,1
DEPO,35202010,9
DERM,35202010,9
DEST,25504010,14
DF,30202030,1
DFS,40202010,1
DFT,60101080,15
DG,25503020,14
DGAS,55102010,13
DGI,20101010,8
DGICA,40301040,11
DGII,45201020,10
DGLY,45203010,8
DGX,35102015,22
DHI,25201030,20
DHIL,40203010,6
DHR,35101010,22
DHX,45101010,15
DIN,25301040,1
DIOD,45301020,10
DIS,25401030,8
DISCA,25401020,8
DISH,25401025,23
DJCO,25401040,15
DK,10102030,4
DKL,10102040,4
DKS,25504040,14
DLA,25203010,14
DLB,45203015,8
DLHC,20202010,5
DLR,60101080,7
DLTR,25503020,14
DLX,20201010,10
DM,10102040,13
DMLP,10102020,2
DMRC,45103010,15
DNB,20202020,15
DNKN,25301040,1
DNOW,20107010,15
DNR,10102020,2
DO,10101010,0
DOC,60101050,7
DOOR,20102010,1
DOV,20106020,3
DOW,15101020,1
DPLO,35102015,5
DPS,30201030,1
DPW,20104010,10
DPZ,25301040,14
DRAD,35102015,22
DRAM,45202030,10
DRE,60101020,7
DRH,60101030,18
DRI,25301040,1
DRNA,35201010,9
DRQ,10101020,0
DRRX,35202010,9
DSPG,45301020,10
DSS,45103020,10
DST,45102020,15
DSW,25504010,14
DTE,55103010,13
DUK,55101010,13
DV,25302010,1
DVA,35102015,22
DVAX,35201010,9
DVCR,35102020,5
DVD,25301030,1
DVN,10102020,4
DWCH,45103010,15
DWSN,10101020,10
DX,40204010,21
DXCM,35101010,22
DXLG,25504010,14
DXPE,20107010,15
DXYN,25201020,1
DY,20103010,0
DYNT,35101010,22
DYSL,45203010,10
EA,45103030,1
EARN,40204010,21
EAT,25301040,1
EBAY,45101010,1
EBF,20201010,10
EBIO,35201010,9
EBIX,45103010,11
EBMT,40101015,12
EBS,35201010,9
EBSB,40102010,12
EBTC,40101015,12
ECHO,20301010,16
ECL,15101050,1
ECOL,20201050,0
ECOM,45101010,15
ECPG,40202010,1
ECR,10102020,2
ECT,10102020,2
ECYT,35202010,9
ED,55103010,13
EDGW,45102010,15
EDR,60101060,7
EDUC,25501010,8
EE,55101010,0
EEFT,45102020,15
EEI,20201050,0
EEP,10102040,4
EEQ,10102040,4
EFC,40203010,21
EFII,45202030,10
EFOI,20104010,3
EFSC,40101015,19
EFX,20202020,15
EGAN,45101010,1
EGAS,55102010,13
EGBN,40101015,12
EGHT,45103010,23
EGL,20101010,15
EGLT,35202010,9
EGN,10102020,2
EGOV,45101010,15
EGP,60101020,7
EGRX,35201010,9
EGY,10102020,2
EHTH,40301010,5
EIG,40301040,11
EIGI,45101010,1
EIX,55101010,13
EL,30302010,1
ELGX,35101020,22
ELLI,45103010,1
ELMD,35101010,1
ELON,45203020,10
ELS,60101060,7
ELY,25202010,1
EMAN,45203020,10
EMCI,40301040,11
EME,20103010,0
EMES,10102030,3
EMKR,45201020,10
EML,20106020,15
EMMS,25401020,8
EMN,15101020,1
EMR,20104010,3
ENBL,10102040,4
ENG,10101020,0
ENLC,10102040,4
ENLK,10102030,4
ENOC,45103010,15
ENPH,20104010,10
ENR,30301010,3
ENRJ,10102020,2
ENS,20104010,3
ENSG,35102020,5
ENSV,10101020,0
ENT,25401030,10
ENTA,35201010,9
ENTG,45301010,10
ENTL,35101010,22
ENV,45101010,6
ENZ,35203010,22
EOG,10102020,2
EPAM,45102010,15
EPAY,45103010,15
EPD,10102040,4
EPE,10102020,2
EPM,10102020,2
EPR,60101080,1
EPZM,35201010,9
EQC,60101040,7
EQGP,10102040,0
EQIX,60101080,23
EQM,10102040,0
EQR,60101060,7
EQT,10102020,0
ERA,10101020,3
ERI,25301010,1
ERIE,40301040,11
ERII,20106020,3
ERN,10102020,2
ES,55101010,13
ESBA,60101010,7
ESCA,25202010,14
ESE,20106020,10
ESIO,45203010,10
ESL,20101010,3
ESP,20104010,10
ESPR,35201010,9
ESRT,60101010,7
ESRX,35102015,5
ESS,60101060,7
ESSA,40102010,12
