symbol,gics8,textgics_005
AAMC,60102040,0
AAT,60101010,0
AB,40203010,0
ABDC,40203010,0
ABR,40204010,0
ACC,60101060,0
ACRE,40204010,0
ACSF,40203010,0
ADC,60101070,0
ADK,35102020,0
AGNC,40204010,0
AHH,60101010,0
AHP,60101030,0
AHT,60101030,0
AI,40203010,0
AINV,40203010,0
AIV,60101060,0
AJX,40204010,0
AKR,60101070,0
ALEX,60102010,0
ALX,60101070,0
AMG,40203010,0
AMH,60101060,0
ANH,40204010,0
APAM,40203010,0
APO,40203010,0
APTS,60101060,0
ARCC,40203010,0
ARE,60101040,0
ARES,40203010,0
ARI,40204010,0
ARR,40204010,0
AVB,60101060,0
BDN,60101040,0
BEN,40203010,0
BFS,60101070,0
BGCP,40203020,0
BK,40203010,0
BKCC,40203010,0
BLK,40203010,0
BRG,60101060,0
BRT,60101060,0
BRX,60101070,0
BX,40203010,0
BXMT,40204010,0
BXP,60101040,0
CBG,60102040,0
CBL,60101070,0
CDR,60101070,0
CG,40203010,0
CHCI,25201030,0
CHMI,40204010,0
CHSP,60101030,0
CIM,40204010,0
CLDT,60101030,0
CLI,60101040,0
CMCT,40204010,0
CMFN,40203010,0
CMO,40204010,0
CNS,40203010,0
CODI,40201030,0
CONE,60101080,0
COR,60101080,0
CORR,60101080,0
COWN,40203020,0
CPT,60101060,0
CPTA,40203010,0
CRT,10102020,0
CSWC,40203010,0
CTO,60102010,0
CTRE,60101050,0
CTT,60101080,0
CUBE,60101080,0
CUZ,60101040,0
CXP,60101040,0
DCT,60101020,0
DDR,60101070,0
DEA,60101040,0
DEI,60101040,0
DFT,60101080,0
DHIL,40203010,0
DLR,60101080,0
DOC,60101050,0
DRE,60101020,0
DRH,60101030,0
DX,40204010,0
EARN,40204010,0
EDR,60101060,0
EFC,40203010,0
EGP,60101020,0
ELS,60101060,0
EPR,60101080,0
EQC,60101040,0
EQR,60101060,0
ESBA,60101010,0
ESRT,60101010,0
ESS,60101060,0
EV,40203010,0
EVR,40203020,0
EXR,60101080,0
FBRC,40203020,0
FCH,60101030,0
FDUS,40203010,0
FIG,40203010,0
FII,40203010,0
FOR,60102030,0
FPI,60101080,0
FPO,60101010,0
FR,60101020,0
FRPH,60102020,0
FRT,60101070,0
FSAM,40203010,0
FSC,40203010,0
FSFR,40203010,0
FSIC,40203010,0
FSP,60101040,0
GAIN,40203010,0
GBDC,40203010,0
GBL,40203010,0
GGP,60101070,0
GLAD,40203010,0
GLPI,60101080,0
GOOD,60101010,0
GOV,60101040,0
GPT,60101010,0
GROW,40203010,0
GS,40203020,0
GSBD,40203010,0
GSVC,40203010,0
GTY,60101070,0
HCAP,40203010,0
HCN,60101050,0
HCP,60101050,0
HF,60102040,0
HHC,60102030,0
HIFR,60101080,0
HIW,60101040,0
HNNA,40203010,0
HPP,60101040,0
HPT,60101030,0
HR,60101050,0
HRZN,40203010,0
HST,60101030,0
HT,60101030,0
HTA,60101050,0
HTGC,40203010,0
IFMI,40203030,0
IMH,40102010,0
INN,60101030,0
IRET,60101010,0
IRT,60101060,0
IVR,40204010,0
IVZ,40203010,0
JCAP,60101080,0
JLL,60102040,0
JMP,40203030,0
JNS,40203010,0
JOE,60102010,0
KCAP,40203010,0
KIM,60101070,0
KRC,60101040,0
KRG,60101070,0
LADR,40204010,0
LAND,60101080,0
LEN,25201030,0
LHO,60101030,0
LM,40203010,0
LMNR,30202010,0
LOAN,40204010,0
LODE,15104030,0
LPT,60101010,0
LTC,60101050,0
LTS,40203020,0
LXP,60101010,0
MAA,60101060,0
MAC,60101070,0
MAIN,40203010,0
MCC,40203010,0
MDLY,40203010,0
MFA,40204010,0
MITT,40204010,0
MMI,60102040,0
MN,40203010,0
MNR,60101020,0
MORE,60101060,0
MPW,60101050,0
MRCC,40203010,0
MS,40203020,0
MSCI,40203040,0
MTGE,40204010,0
MTN,25301030,0
MVC,40203010,0
NEWS,40201040,0
NEWT,40203010,0
NHI,60101050,0
NLY,40204010,0
