symbol,gics8,kmeans.text_011
ADGE,55105010,0
AEE,55103010,0
AEP,55101010,0
AES,55105010,0
AETI,20104010,0
AGX,20103010,0
ALE,55101010,0
AMRC,20103010,0
AMSC,20104010,0
AOS,20102010,0
ARTNA,55104010,0
AT,55105010,0
ATO,55102010,0
AVA,55103010,0
AWK,55104010,0
AWR,55104010,0
BKH,55103010,0
CAT,20106010,0
CMS,55103010,0
CNP,55103010,0
CPK,55102010,0
CPN,55105010,0
CTWS,55104010,0
CVA,20201050,0
CWT,55104010,0
D,55103010,0
DTE,55103010,0
DUK,55101010,0
DY,20103010,0
ED,55103010,0
EE,55101010,0
EIX,55101010,0
ENPH,20104010,0
ENSV,10101020,0
ERII,20106020,0
ES,55101010,0
ETR,55101010,0
EXC,55101010,0
FCEL,20104010,0
FE,55101010,0
FLR,20103010,0
GE,20105010,0
GV,20103010,0
GVA,20103010,0
GXP,55101010,0
HASI,40204010,0
HE,55101010,0
HIFR,60101080,0
HTM,55105020,0
IDA,55101010,0
ITRI,45203010,0
LAYN,20103010,0
LNT,55101010,0
MDU,55103010,0
MGEE,55101010,0
MIC,20305010,0
MSEX,55104010,0
MTRX,10101020,0
MTZ,20103010,0
MYRG,20103010,0
NEE,55101010,0
NEP,55105020,0
NI,55103010,0
NJR,55102010,0
NRG,55105010,0
NWE,55103010,0
OGE,55101010,0
OPTT,20104020,0
ORA,55105020,0
PCG,55101010,0
PCYO,55104010,0
PEG,55103010,0
PEGI,55105020,0
PICO,40201030,0
PNM,55101010,0
PNW,55101010,0
POR,55101010,0
PPL,55101010,0
PRIM,20103010,0
PWR,20103010,0
RGCO,55102010,0
RGSE,20104010,0
SCG,55103010,0
SGU,55102010,0
SJI,55102010,0
SJW,55104010,0
SO,55101010,0
SPH,55102010,0
SPKE,55101010,0
SPWR,45301020,0
SRE,55103010,0
STRL,20103010,0
SYMX,10101020,0
TERP,55105020,0
TRR,20201050,0
TSLA,25102010,0
UGI,55102010,0
UTL,55103010,0
VSLR,55105020,0
VVC,55103010,0
WEC,55103010,0
WG,10101020,0
WGL,55102010,0
WR,55101010,0
WTR,55104010,0
XEL,55101010,0
XYL,20106020,0
YORW,55104010,0
AA,15104010,1
AAC,35102020,1
AAMC,60102040,1
AAWW,20301010,1
ABAX,35101010,1
ABCD,25302010,1
ABG,25504050,1
ABMD,35101010,1
ABTL,45101010,1
ACCO,20201060,1
ACTG,20202020,1
ADM,30202010,1
AGM,40102010,1
AHC,25401040,1
AHGP,10102050,1
AI,40203010,1
AIQ,35102015,1
