n,r2,w
254,0.735060494552,0.0780577750461
210,0.0424886507461,0.0645359557468
100,0.114529702082,0.0307314074985
85,0.140203991191,0.0261216963737
79,0.0742350592237,0.0242778119238
75,0.110327704626,0.0230485556238
71,0.0709379657649,0.0218192993239
68,0.154953362229,0.020897357099
64,0.381674843292,0.019668100799
63,0.564003663741,0.019360786724
60,0.481132419644,0.0184388444991
55,0.101173761316,0.0169022741242
50,0.108573914873,0.0153657037492
47,0.314757387749,0.0144437615243
44,0.163313566603,0.0135218192993
42,0.286757001549,0.0129071911494
42,0.222447132503,0.0129071911494
41,0.120779222461,0.0125998770744
39,0.128053232788,0.0119852489244
38,0.0966297492673,0.0116779348494
35,0.191911446207,0.0107559926245
33,0.144683763125,0.0101413644745
33,0.299013622185,0.0101413644745
30,0.0780894649724,0.00921942224954
30,0.164394108184,0.00921942224954
29,0.281365191708,0.00891210817455
29,0.186646643578,0.00891210817455
29,0.274400855638,0.00891210817455
29,0.469916012207,0.00891210817455
29,0.0903290237803,0.00891210817455
28,0.130247129455,0.00860479409957
27,0.116564116798,0.00829748002459
27,0.350867486429,0.00829748002459
27,0.260016077449,0.00829748002459
27,0.166319166696,0.00829748002459
27,0.413834948316,0.00829748002459
25,0.297149104812,0.00768285187462
25,0.418821306903,0.00768285187462
25,0.160136880889,0.00768285187462
25,0.327917892876,0.00768285187462
24,0.230981139385,0.00737553779963
24,0.144622243692,0.00737553779963
24,0.120717507352,0.00737553779963
24,0.0298504803018,0.00737553779963
23,0.0140983125,0.00706822372465
23,0.206654633228,0.00706822372465
23,0.0902863628458,0.00706822372465
23,0.37181206088,0.00706822372465
22,0.488007052931,0.00676090964966
22,0.127126192399,0.00676090964966
21,0.25482812814,0.00645359557468
21,0.173131439333,0.00645359557468
20,0.152192110671,0.00614628149969
19,0.306949152206,0.00583896742471
19,0.413818521909,0.00583896742471
19,0.137275446526,0.00583896742471
19,0.188726238259,0.00583896742471
19,0.211612166204,0.00583896742471
18,0.417756862664,0.00553165334972
17,0.312061072821,0.00522433927474
17,0.584258100292,0.00522433927474
17,0.212264321881,0.00522433927474
17,0.310614857666,0.00522433927474
17,0.532377428263,0.00522433927474
16,0.371408441913,0.00491702519975
16,0.148468444175,0.00491702519975
15,0.250815464141,0.00460971112477
15,0.0503892729192,0.00460971112477
15,0.150136894396,0.00460971112477
15,0.421535670185,0.00460971112477
15,0.0828499190256,0.00460971112477
15,0.407437825836,0.00460971112477
14,0.418104338901,0.00430239704978
14,0.253487372098,0.00430239704978
14,0.251345368735,0.00430239704978
14,0.378594958751,0.00430239704978
13,0.152425395031,0.0039950829748
13,0.674453362852,0.0039950829748
12,0.169662763176,0.00368776889982
12,0.239883525027,0.00368776889982
11,0.187147780018,0.00338045482483
11,0.399431187652,0.00338045482483
11,0.39512095895,0.00338045482483
11,0.274124568809,0.00338045482483
11,0.0495206975045,0.00338045482483
11,0.174557496028,0.00338045482483
10,0.381129538517,0.00307314074985
10,0.344440711169,0.00307314074985
10,0.106287732292,0.00307314074985
10,0.165920076079,0.00307314074985
9,0.491075073586,0.00276582667486
9,0.0207566961663,0.00276582667486
9,0.192505401455,0.00276582667486
9,0.569503712078,0.00276582667486
9,0.407969222491,0.00276582667486
8,0.0801978098673,0.00245851259988
8,0.223017830627,0.00245851259988
8,0.21489163691,0.00245851259988
8,0.0535064000514,0.00245851259988
8,0.0596170827151,0.00245851259988
8,0.151209110553,0.00245851259988
7,0.197399612519,0.00215119852489
7,0.123985595259,0.00215119852489
7,0.660548048227,0.00215119852489
7,0.405159961143,0.00215119852489
7,0.222804955392,0.00215119852489
7,0.0778925089613,0.00215119852489
7,0.0492449433018,0.00215119852489
6,0.13996764932,0.00184388444991
6,0.45682535201,0.00184388444991
6,0.202831777063,0.00184388444991
6,0.365119043352,0.00184388444991
6,0.180688196132,0.00184388444991
6,0.965396748937,0.00184388444991
6,0.122344134677,0.00184388444991
6,0.200479541797,0.00184388444991
6,0.0980445197186,0.00184388444991
6,0.384038613032,0.00184388444991
6,0.161193545885,0.00184388444991
5,0.0600613179006,0.00153657037492
5,0.0140738688232,0.00153657037492
5,0.287008930807,0.00153657037492
5,0.516961883288,0.00153657037492
5,0.131224607204,0.00153657037492
5,0.376070424557,0.00153657037492
5,0.350498322636,0.00153657037492
5,0.104586182256,0.00153657037492
5,0.153421803156,0.00153657037492
5,0.558252121681,0.00153657037492
5,0.349496690878,0.00153657037492
4,0.163161082029,0.00122925629994
4,0.060156667837,0.00122925629994
4,0.0429958293481,0.00122925629994
4,0.139277902324,0.00122925629994
4,0.181508282473,0.00122925629994
4,0.415870987925,0.00122925629994
4,0.395515459401,0.00122925629994
3,0.0922324557083,0.000921942224954
3,0.430404604359,0.000921942224954
3,0.21160456635,0.000921942224954
3,0.206618907007,0.000921942224954
3,0.453879432309,0.000921942224954
3,0.280886754305,0.000921942224954
3,0.0892411404742,0.000921942224954
2,0.673900008499,0.000614628149969
2,0.564008456067,0.000614628149969
2,0.774448707307,0.000614628149969
2,0.834152710891,0.000614628149969
2,0.424015387356,0.000614628149969
2,0.676047903572,0.000614628149969
2,0.59276008967,0.000614628149969
2,0.348261970331,0.000614628149969
1,1.0,0.000307314074985
1,1.0,0.000307314074985
1,1.0,0.000307314074985
1,1.0,0.000307314074985
