n,r2,w
323,0.474225531635,0.09926244622
308,0.130324122636,0.0946527350953
259,0.269842255861,0.079594345421
256,0.129371507938,0.0786724031961
248,0.206322701712,0.0762138905962
193,0.216585341965,0.059311616472
189,0.209635432826,0.0580823601721
177,0.134544658597,0.0543945912723
173,0.226102750498,0.0531653349723
138,0.183475861883,0.0424093423479
132,0.172066503136,0.040565457898
120,0.277713386637,0.0368776889982
107,0.294831965139,0.0328826060234
101,0.186617874229,0.0310387215734
82,0.179310691653,0.0251997541487
76,0.212937328162,0.0233558696988
76,0.211974117237,0.0233558696988
71,0.167812594197,0.0218192993239
59,0.214396081008,0.0181315304241
52,0.15360691086,0.0159803318992
32,0.199423208159,0.00983405039951
31,0.183899715174,0.00952673632452
30,0.196465068859,0.00921942224954
21,0.103230695696,0.00645359557468
