n,r2,w
409,0.302483322688,0.125691456669
354,0.263940280712,0.108789182545
341,0.156042876649,0.10479409957
254,0.040576633218,0.0780577750461
165,0.723375840511,0.0507068223725
162,0.0984369733877,0.0497848801475
159,0.101087138568,0.0488629379226
147,0.152411546819,0.0451751690227
146,0.0407151651335,0.0448678549478
145,0.707216646465,0.0445605408728
106,0.134625931055,0.0325752919484
94,0.218867643735,0.0288875230486
93,0.160164627182,0.0285802089736
92,0.332504586874,0.0282728948986
87,0.161257265276,0.0267363245237
84,0.276470946509,0.0258143822987
84,0.265162796351,0.0258143822987
77,0.143077911529,0.0236631837738
52,0.210229935644,0.0159803318992
47,0.343229604874,0.0144437615243
46,0.0338285654319,0.0141364474493
42,0.375430017848,0.0129071911494
37,0.154597365066,0.0113706207744
31,0.341756137705,0.00952673632452
