n,r2,w
409,0.182887556397,0.125691456669
354,0.256983908899,0.108789182545
341,0.213147238008,0.10479409957
254,0.138336078209,0.0780577750461
165,0.420467366335,0.0507068223725
162,0.228579252017,0.0497848801475
159,0.138179769631,0.0488629379226
147,0.212646549852,0.0451751690227
146,0.163658000755,0.0448678549478
145,0.571252991764,0.0445605408728
106,0.0962775580634,0.0325752919484
94,0.206592358989,0.0288875230486
93,0.162881793128,0.0285802089736
92,0.178163242688,0.0282728948986
87,0.226233998435,0.0267363245237
84,0.227448829608,0.0258143822987
84,0.223797160455,0.0258143822987
77,0.188361392571,0.0236631837738
52,0.136179555942,0.0159803318992
47,0.301830468024,0.0144437615243
46,0.180968546373,0.0141364474493
42,0.167923056279,0.0129071911494
37,0.185727611842,0.0113706207744
31,0.270877714374,0.00952673632452
