n,r2,w
180,0.146036639173,0.0553165334972
179,0.215427272715,0.0550092194222
173,0.247543414077,0.0531653349723
166,0.55283025887,0.0510141364474
153,0.220072451335,0.0470190534726
141,0.197445000366,0.0433312845728
102,0.227761090186,0.0313460356484
98,0.225408086299,0.0301167793485
83,0.241326259743,0.0255070682237
80,0.116777637664,0.0245851259988
77,0.339919861589,0.0236631837738
69,0.0811383916655,0.0212046711739
66,0.155276219122,0.020282728949
64,0.11600589499,0.019668100799
59,0.199243526283,0.0181315304241
59,0.236908001709,0.0181315304241
58,0.601048711666,0.0178242163491
58,0.23109066864,0.0178242163491
57,0.273766908515,0.0175169022741
56,0.165421105534,0.0172095881991
53,0.193609499677,0.0162876459742
52,0.157630166099,0.0159803318992
51,0.163509811457,0.0156730178242
50,0.237262038182,0.0153657037492
50,0.136246781763,0.0153657037492
49,0.219757906992,0.0150583896742
47,0.288693672302,0.0144437615243
44,0.160217611533,0.0135218192993
44,0.163808769235,0.0135218192993
44,0.194102326496,0.0135218192993
41,0.136456967433,0.0125998770744
36,0.164962451398,0.0110633066994
34,0.155149447265,0.0104486785495
31,0.108074132626,0.00952673632452
31,0.0853739356193,0.00952673632452
29,0.251784860349,0.00891210817455
29,0.212252552174,0.00891210817455
29,0.346165511261,0.00891210817455
28,0.277092894718,0.00860479409957
28,0.199333920939,0.00860479409957
26,0.191223392298,0.0079901659496
25,0.240594743373,0.00768285187462
24,0.302865557724,0.00737553779963
23,0.235019518173,0.00706822372465
22,0.181876255678,0.00676090964966
21,0.239058975506,0.00645359557468
21,0.142491558925,0.00645359557468
21,0.17375942439,0.00645359557468
21,0.211542679415,0.00645359557468
19,0.373662921488,0.00583896742471
19,0.210608468492,0.00583896742471
19,0.309857176838,0.00583896742471
19,0.204434516369,0.00583896742471
18,0.148197130558,0.00553165334972
17,0.248322652956,0.00522433927474
16,0.156025429107,0.00491702519975
15,0.135697222395,0.00460971112477
15,0.0987604794274,0.00460971112477
15,0.268195401614,0.00460971112477
15,0.1156012687,0.00460971112477
13,0.146466755931,0.0039950829748
13,0.0661006560195,0.0039950829748
12,0.283489824616,0.00368776889982
12,0.230925179404,0.00368776889982
10,0.0736798005013,0.00307314074985
10,0.271190456047,0.00307314074985
9,0.103588081133,0.00276582667486
6,0.088559981354,0.00184388444991
