n,r2,w
323,0.700118986073,0.09926244622
308,0.0776192659476,0.0946527350953
259,0.25278424226,0.079594345421
256,0.140575482122,0.0786724031961
248,0.104346807938,0.0762138905962
193,0.156833186092,0.059311616472
189,0.182539112534,0.0580823601721
177,0.136029171893,0.0543945912723
173,0.22430332811,0.0531653349723
138,0.267804907683,0.0424093423479
132,0.050062777804,0.040565457898
120,0.248927398527,0.0368776889982
107,0.248401110882,0.0328826060234
101,0.102802205899,0.0310387215734
82,0.304178072219,0.0251997541487
76,0.364023062638,0.0233558696988
76,0.256387945207,0.0233558696988
71,0.104098144116,0.0218192993239
59,0.179066605065,0.0181315304241
52,0.286242906593,0.0159803318992
32,0.213087046655,0.00983405039951
31,0.267596712006,0.00952673632452
30,0.0581089475309,0.00921942224954
21,0.135471535461,0.00645359557468
