n,r2,w
217,0.23817407386,0.0666871542717
175,0.145757990287,0.0537799631223
143,0.180007017373,0.0439459127228
108,0.154611902568,0.0331899200983
103,0.602398371456,0.0316533497234
91,0.192799718244,0.0279655808236
87,0.162906895964,0.0267363245237
84,0.176999238181,0.0258143822987
83,0.215092478499,0.0255070682237
78,0.55389731796,0.0239704978488
77,0.185491424937,0.0236631837738
66,0.115110245809,0.020282728949
65,0.267707109294,0.019975414874
64,0.520561602323,0.019668100799
61,0.175101787734,0.0187461585741
58,0.22911979219,0.0178242163491
54,0.198265882799,0.0165949600492
54,0.240989203513,0.0165949600492
52,0.26791544104,0.0159803318992
52,0.197064226626,0.0159803318992
50,0.226961165884,0.0153657037492
50,0.137268506826,0.0153657037492
49,0.235820963964,0.0150583896742
48,0.300200495614,0.0147510755993
48,0.165162263678,0.0147510755993
46,0.183365077766,0.0141364474493
46,0.185467425498,0.0141364474493
45,0.176221598408,0.0138291333743
44,0.265434286492,0.0135218192993
43,0.131699713133,0.0132145052243
41,0.204523322848,0.0125998770744
40,0.121719586786,0.0122925629994
40,0.328190921991,0.0122925629994
38,0.26084803759,0.0116779348494
38,0.15840196501,0.0116779348494
36,0.187361781243,0.0110633066994
35,0.0585007717716,0.0107559926245
35,0.15692716188,0.0107559926245
34,0.209313676955,0.0104486785495
33,0.270579660376,0.0101413644745
32,0.166498572768,0.00983405039951
32,0.213691063406,0.00983405039951
32,0.201157021551,0.00983405039951
29,0.177715978221,0.00891210817455
28,0.288321918375,0.00860479409957
28,0.0520645865063,0.00860479409957
27,0.244768114643,0.00829748002459
26,0.246827808784,0.0079901659496
26,0.0996792870527,0.0079901659496
25,0.219058721039,0.00768285187462
25,0.234250637015,0.00768285187462
25,0.243177029243,0.00768285187462
25,0.112829739737,0.00768285187462
22,0.209555109926,0.00676090964966
22,0.238168980606,0.00676090964966
22,0.179124345272,0.00676090964966
21,0.142199660326,0.00645359557468
21,0.221352336395,0.00645359557468
21,0.127017560258,0.00645359557468
21,0.370009418542,0.00645359557468
20,0.302625676238,0.00614628149969
20,0.261012139449,0.00614628149969
18,0.240592059218,0.00553165334972
18,0.150858804806,0.00553165334972
17,0.111093586668,0.00522433927474
17,0.392665256275,0.00522433927474
14,0.287239989503,0.00430239704978
9,0.154180135711,0.00276582667486
