n,r2,w
577,0.165136126942,0.177320221266
303,0.242613333691,0.0931161647203
260,0.0453092016859,0.079901659496
248,0.147641804096,0.0762138905962
224,0.712428158254,0.0688383527966
217,0.265981395752,0.0666871542717
163,0.20109993516,0.0500921942225
153,0.141042391961,0.0470190534726
149,0.140117505274,0.0457897971727
122,0.0623109665489,0.0374923171481
90,0.0893106301579,0.0276582667486
89,0.102204370409,0.0273509526736
77,0.757767878547,0.0236631837738
76,0.122843126687,0.0233558696988
75,0.277464130227,0.0230485556238
74,0.14042423398,0.0227412415489
73,0.183086640809,0.0224339274739
70,0.22194839964,0.0215119852489
52,0.431158167837,0.0159803318992
47,0.314066449149,0.0144437615243
43,0.245112448132,0.0132145052243
26,0.186018586487,0.0079901659496
25,0.431367287661,0.00768285187462
21,0.119428704882,0.00645359557468
