n,r2,w
577,0.217642096756,0.177320221266
303,0.246252077567,0.0931161647203
260,0.134323441653,0.079901659496
248,0.22431817515,0.0762138905962
224,0.560346321164,0.0688383527966
217,0.231201457999,0.0666871542717
163,0.174767481373,0.0500921942225
153,0.157969358123,0.0470190534726
149,0.20400241143,0.0457897971727
122,0.162125839565,0.0374923171481
90,0.102500733011,0.0276582667486
89,0.211880418299,0.0273509526736
77,0.339919861589,0.0236631837738
76,0.156667576576,0.0233558696988
75,0.215958660752,0.0230485556238
74,0.187686884936,0.0227412415489
73,0.182656677492,0.0224339274739
70,0.158896761262,0.0215119852489
52,0.157630166099,0.0159803318992
47,0.288693672302,0.0144437615243
43,0.141713786463,0.0132145052243
26,0.191223392298,0.0079901659496
25,0.240594743373,0.00768285187462
21,0.239058975506,0.00645359557468
